R1/R2
Excitations | Coefficients
6^ 0	| (5.526078386391777e-10+0j)
8^ 0	| (1.7153349579886052e-16+0j)
10^ 0	| (-2.0776889217047229e-10+0j)
7^ 1	| (-4.302830275472705e-10+0j)
9^ 1	| (-2.4918059099903044e-10+0j)
11^ 1	| (1.829403522363486e-10+0j)
6^ 2	| (4.6858706160548804e-08+0j)
8^ 2	| (1.0092604777996983e-07+0j)
10^ 2	| (3.585775600806507e-09+0j)
7^ 3	| (-2.5348949992851487e-08+0j)
9^ 3	| (-1.1415375132397327e-07+0j)
11^ 3	| (-8.831370018476406e-09+0j)
6^ 4	| (-6.616190969161183e-09+0j)
8^ 4	| (8.598917477054628e-08+0j)
10^ 4	| (-9.695791577809157e-09+0j)
7^ 5	| (7.339537440543996e-09+0j)
9^ 5	| (-9.282788162171036e-08+0j)
11^ 5	| (1.137904601556216e-08+0j)
6^ 0; 7^ 1	| (0.001522500376049238+0j)
6^ 0; 9^ 1	| (-0.0002642342277770104+0j)
6^ 0; 11^ 1	| (3.6651703879844875e-10+0j)
8^ 0; 7^ 1	| (0.00026423422777448603+0j)
8^ 0; 9^ 1	| (-0.0015224994602766235+0j)
8^ 0; 11^ 1	| (1.977053113039029e-10+0j)
10^ 0; 7^ 1	| (5.32317885535577e-10+0j)
10^ 0; 9^ 1	| (3.469304450137678e-11+0j)
10^ 0; 11^ 1	| (8.397008287594332e-13+0j)
6^ 0; 8^ 2	| (1.2052497836801661e-15+0j)
6^ 0; 10^ 2	| (2.219403063618141e-10+0j)
8^ 0; 10^ 2	| (-5.302789299610502e-10+0j)
6^ 0; 7^ 3	| (0.0004669753710208877+0j)
6^ 0; 9^ 3	| (-8.104488942349712e-05+0j)
6^ 0; 11^ 3	| (9.4949541449307e-11+0j)
8^ 0; 7^ 3	| (8.104488941861956e-05+0j)
8^ 0; 9^ 3	| (-0.0004669750755110854+0j)
8^ 0; 11^ 3	| (3.8895512311264073e-10+0j)
10^ 0; 7^ 3	| (4.765623211587345e-11+0j)
10^ 0; 9^ 3	| (3.7813262581435727e-10+0j)
10^ 0; 11^ 3	| (-8.550927608807888e-12+0j)
6^ 0; 8^ 4	| (3.342884383463519e-15+0j)
6^ 0; 10^ 4	| (3.86480334241774e-10+0j)
8^ 0; 10^ 4	| (-3.89086398650613e-10+0j)
6^ 0; 7^ 5	| (-0.0006374037297273739+0j)
6^ 0; 9^ 5	| (0.00011062324865397872+0j)
6^ 0; 11^ 5	| (2.4447423436784813e-10+0j)
8^ 0; 7^ 5	| (-0.00011062324865576422+0j)
8^ 0; 9^ 5	| (0.0006374037654434101+0j)
8^ 0; 11^ 5	| (7.965019010290934e-10+0j)
10^ 0; 7^ 5	| (-4.0367377035421396e-11+0j)
10^ 0; 9^ 5	| (-1.5432031980506338e-10+0j)
10^ 0; 11^ 5	| (8.84544230819488e-11+0j)
7^ 1; 6^ 2	| (-0.00046697591806719915+0j)
7^ 1; 8^ 2	| (-8.104513674969697e-05+0j)
7^ 1; 10^ 2	| (1.8648359776277332e-10+0j)
9^ 1; 6^ 2	| (8.104513674396993e-05+0j)
9^ 1; 8^ 2	| (0.00046697737860824023+0j)
9^ 1; 10^ 2	| (-2.391781195248949e-10+0j)
11^ 1; 6^ 2	| (5.932150897844072e-11+0j)
11^ 1; 8^ 2	| (5.820410481285464e-10+0j)
11^ 1; 10^ 2	| (1.8913152610088423e-12+0j)
7^ 1; 9^ 3	| (2.9319153930821724e-15+0j)
7^ 1; 11^ 3	| (-8.804578452750075e-11+0j)
9^ 1; 11^ 3	| (2.8095578284212987e-10+0j)
7^ 1; 6^ 4	| (0.0006374054017651539+0j)
7^ 1; 8^ 4	| (0.00011062331384438546+0j)
7^ 1; 10^ 4	| (4.841883103401311e-10+0j)
9^ 1; 6^ 4	| (-0.00011062331384822278+0j)
9^ 1; 8^ 4	| (-0.0006374028446803986+0j)
9^ 1; 10^ 4	| (-2.0893316215251132e-10+0j)
11^ 1; 6^ 4	| (-4.541252763350272e-11+0j)
11^ 1; 8^ 4	| (3.9214551394994763e-10+0j)
11^ 1; 10^ 4	| (-6.41639452657812e-11+0j)
