Active electrons: 6
Active orbitals: 6
HF energy: -25.05230379032307
UCCSD energy: -25.102195958800113

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00018394288698019075
6^ 9^ 0 1 	| -2.3241138954615297e-08
6^ 11^ 0 1 	| 5.365902867145632e-09
8^ 7^ 0 1 	| -6.330448667749407e-10
10^ 7^ 0 1 	| -1.3151440173995193e-08
8^ 9^ 0 1 	| -0.0001839483261166067
8^ 11^ 0 1 	| -1.0349349680806941e-08
10^ 9^ 0 1 	| -2.136897006733144e-09
10^ 11^ 0 1 	| -0.00047161611728934973
6^ 8^ 0 2 	| -1.5548844224193632e-08
6^ 10^ 0 2 	| -1.9477888405467682e-08
8^ 10^ 0 2 	| -7.412562160649744e-09
6^ 7^ 0 3 	| -0.001317923764355866
6^ 9^ 0 3 	| -1.2397724786987208e-08
6^ 11^ 0 3 	| -6.1111249305819875e-09
8^ 7^ 0 3 	| 1.3545157824135015e-08
10^ 7^ 0 3 	| 3.699049658080275e-09
8^ 9^ 0 3 	| -0.001317904111379531
8^ 11^ 0 3 	| -1.6759545448389778e-08
10^ 9^ 0 3 	| -4.27407705740534e-09
10^ 11^ 0 3 	| -0.000747106366508762
6^ 8^ 0 4 	| -9.643630423088671e-10
6^ 10^ 0 4 	| -1.67689324595929e-09
8^ 10^ 0 4 	| -1.3263629677533548e-08
6^ 7^ 0 5 	| 0.00046056938208973087
6^ 9^ 0 5 	| 1.53340096835848e-08
6^ 11^ 0 5 	| 4.422003557772792e-09
8^ 7^ 0 5 	| 2.6940794302734957e-09
10^ 7^ 0 5 	| -2.9533068599726452e-09
8^ 9^ 0 5 	| 0.0004605558954599777
8^ 11^ 0 5 	| -1.4739173979334623e-08
10^ 9^ 0 5 	| 9.494576740336102e-09
10^ 11^ 0 5 	| 0.0002094455363715258
6^ 7^ 2 1 	| -0.001317925916033729
6^ 9^ 2 1 	| 1.3362915647966165e-08
6^ 11^ 2 1 	| 2.4545556002479826e-08
8^ 7^ 2 1 	| -6.643881933126178e-09
10^ 7^ 2 1 	| -7.640175416177138e-10
8^ 9^ 2 1 	| -0.001317930817854477
8^ 11^ 2 1 	| 1.3758810887619262e-08
10^ 9^ 2 1 	| 1.6082022675496267e-08
10^ 11^ 2 1 	| -0.0007470641129845481
7^ 9^ 1 3 	| -2.6754771278609816e-08
7^ 11^ 1 3 	| 3.1567460213746327e-09
9^ 11^ 1 3 	| 4.918107676987228e-10
6^ 7^ 4 1 	| 0.0004605328818983963
6^ 9^ 4 1 	| -7.720863238779325e-09
6^ 11^ 4 1 	| -1.0363569260128618e-08
8^ 7^ 4 1 	| -4.748163754154571e-09
10^ 7^ 4 1 	| 1.1840934145637176e-08
8^ 9^ 4 1 	| 0.00046057200139963287
8^ 11^ 4 1 	| 1.5288372813908083e-08
10^ 9^ 4 1 	| -1.4251674467735371e-09
10^ 11^ 4 1 	| 0.00020942820505994234
7^ 9^ 1 5 	| -1.3445476058230843e-09
7^ 11^ 1 5 	| 9.98756740249227e-09
9^ 11^ 1 5 	| 1.4056757816891189e-08
6^ 7^ 2 3 	| -0.11000584370104807
6^ 9^ 2 3 	| 1.4122427004646346e-07
6^ 11^ 2 3 	| -7.419277082295209e-08
8^ 7^ 2 3 	| -5.367606463119585e-08
10^ 7^ 2 3 	| -1.1482037880498718e-07
8^ 9^ 2 3 	| -0.11000576153681427
8^ 11^ 2 3 	| -3.6108010647007356e-09
10^ 9^ 2 3 	| -8.95749505719836e-08
10^ 11^ 2 3 	| -0.045479353632484655
6^ 8^ 2 4 	| -9.52227988941439e-08
6^ 10^ 2 4 	| 1.0461329418333711e-07
8^ 10^ 2 4 	| 1.0582411631671626e-08
6^ 7^ 2 5 	| 0.06059111826749436
6^ 9^ 2 5 	| 5.818848085760943e-08
6^ 11^ 2 5 	| -6.403307905213296e-08
8^ 7^ 2 5 	| -5.1803734713659384e-08
10^ 7^ 2 5 	| -1.7479810479054135e-08
8^ 9^ 2 5 	| 0.06059105573823877
8^ 11^ 2 5 	| 1.1793948055156075e-08
10^ 9^ 2 5 	| 1.5324615465611744e-07
10^ 11^ 2 5 	| -0.04256813447070643
6^ 7^ 4 3 	| 0.06059089694929484
6^ 9^ 4 3 	| 4.865831874391505e-09
6^ 11^ 4 3 	| -7.75277157079348e-08
8^ 7^ 4 3 	| 3.1923679635158444e-08
10^ 7^ 4 3 	| 8.251232845938217e-08
8^ 9^ 4 3 	| 0.060590804607325764
8^ 11^ 4 3 	| -6.441380973170158e-09
10^ 9^ 4 3 	| 9.199003853504044e-09
10^ 11^ 4 3 	| -0.04256828245296664
7^ 9^ 3 5 	| 9.556481320335257e-08
7^ 11^ 3 5 	| 1.9429688627181234e-07
9^ 11^ 3 5 	| 5.889909835490541e-08
6^ 7^ 4 5 	| -0.05134006908039714
6^ 9^ 4 5 	| 1.7216874643827768e-07
6^ 11^ 4 5 	| 9.272531807856628e-08
8^ 7^ 4 5 	| -1.08386930633745e-08
10^ 7^ 4 5 	| 1.8368434292690906e-09
8^ 9^ 4 5 	| -0.05134000454180491
8^ 11^ 4 5 	| 2.5470878230148095e-07
10^ 9^ 4 5 	| 8.783164652925084e-08
10^ 11^ 4 5 	| -0.19795477496245287
6^ 0 	| -1.4812493031309826e-08
8^ 0 	| 8.88341095822222e-09
10^ 0 	| 7.755722914687619e-05
7^ 1 	| -1.4812493031309826e-08
9^ 1 	| 8.88341095822222e-09
11^ 1 	| 7.755722914687619e-05
6^ 2 	| 3.558891719227958e-08
8^ 2 	| 1.0770407757560575e-07
10^ 2 	| -0.032833069849831614
7^ 3 	| 3.558891719227958e-08
9^ 3 	| 1.0770407757560575e-07
11^ 3 	| -0.032833069849831614
6^ 4 	| 1.0317801225398332e-07
8^ 4 	| 3.877950331038357e-07
10^ 4 	| -0.0041182639207268425
7^ 5 	| 1.0317801225398332e-07
9^ 5 	| 3.877950331038357e-07
11^ 5 	| -0.0041182639207268425
