Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0003777596030918331
6^ 9^ 0 1 	| -6.392104972064953e-07
6^ 11^ 0 1 	| -1.2940535740765325e-07
8^ 7^ 0 1 	| 2.0452854367532844e-08
10^ 7^ 0 1 	| -1.8576425061537967e-06
8^ 9^ 0 1 	| 0.00036883862292914205
8^ 11^ 0 1 	| 6.268542539745174e-07
10^ 9^ 0 1 	| -1.2205843702415902e-06
10^ 11^ 0 1 	| 0.0009307457580260983
6^ 8^ 0 2 	| 2.0273486002283105e-07
6^ 10^ 0 2 	| 9.992033594868003e-07
8^ 10^ 0 2 	| 7.325961136984967e-07
6^ 7^ 0 3 	| 0.0026290461308755794
6^ 9^ 0 3 	| 2.519219986292905e-06
6^ 11^ 0 3 	| -4.0790027636914224e-08
8^ 7^ 0 3 	| -3.5294743347334036e-06
10^ 7^ 0 3 	| -3.1291986221220886e-07
8^ 9^ 0 3 	| 0.0026145494901328266
8^ 11^ 0 3 	| 7.530007323080392e-07
10^ 9^ 0 3 	| -3.930359496853564e-08
10^ 11^ 0 3 	| 0.0014553042128956522
6^ 8^ 0 4 	| 8.90435504726849e-07
6^ 10^ 0 4 	| -3.0673043180728817e-07
8^ 10^ 0 4 	| 3.4112868919564855e-06
6^ 7^ 0 5 	| -0.0009283714243541993
6^ 9^ 0 5 	| 1.5804434213937005e-06
6^ 11^ 0 5 	| 3.0204054477299765e-07
8^ 7^ 0 5 	| 4.867397724999849e-07
10^ 7^ 0 5 	| -1.4075872453776874e-06
8^ 9^ 0 5 	| -0.0009143629819032806
8^ 11^ 0 5 	| 6.000433670709457e-07
10^ 9^ 0 5 	| 3.266263317246824e-07
10^ 11^ 0 5 	| -0.0004376982110521529
6^ 7^ 2 1 	| 0.00262708057399009
6^ 9^ 2 1 	| -3.791084440795037e-07
6^ 11^ 2 1 	| 1.8013673844419408e-07
8^ 7^ 2 1 	| -1.4810920545619651e-06
10^ 7^ 2 1 	| 2.2638206144521393e-06
8^ 9^ 2 1 	| 0.002610398153997899
8^ 11^ 2 1 	| -1.57975698118476e-06
10^ 9^ 2 1 	| -2.1867693478260624e-06
10^ 11^ 2 1 	| 0.0014549057354638648
7^ 9^ 1 3 	| -8.459672323779409e-07
7^ 11^ 1 3 	| -1.7636390914201145e-06
9^ 11^ 1 3 	| 1.5274381625499539e-06
6^ 7^ 4 1 	| -0.0009290858935659048
6^ 9^ 4 1 	| 6.919350184530498e-07
6^ 11^ 4 1 	| -1.3689335487337203e-06
8^ 7^ 4 1 	| -3.127082695589315e-07
10^ 7^ 4 1 	| -3.970656535867683e-07
8^ 9^ 4 1 	| -0.0009151935380751977
8^ 11^ 4 1 	| 3.729198149290348e-07
10^ 9^ 4 1 	| -4.664747113224804e-07
10^ 11^ 4 1 	| -0.00043716115325028744
7^ 9^ 1 5 	| -4.830761887995149e-07
7^ 11^ 1 5 	| -1.0425130999199692e-06
9^ 11^ 1 5 	| 4.3131068932064445e-07
6^ 7^ 2 3 	| 0.22093530267534342
6^ 9^ 2 3 	| 5.3723285140773274e-06
6^ 11^ 2 3 	| -4.015349456364253e-06
8^ 7^ 2 3 	| 1.3851636594011471e-05
10^ 7^ 2 3 	| 5.7695057044590266e-06
8^ 9^ 2 3 	| 0.22170215739291382
8^ 11^ 2 3 	| 7.758785971205929e-06
10^ 9^ 2 3 	| -1.0644167371621664e-05
10^ 11^ 2 3 	| 0.08978958677452097
6^ 8^ 2 4 	| -6.286142583199991e-06
6^ 10^ 2 4 	| 4.026203625807458e-06
8^ 10^ 2 4 	| -9.688602468227694e-07
6^ 7^ 2 5 	| -0.12112695392088635
6^ 9^ 2 5 	| -1.3320723512672115e-06
6^ 11^ 2 5 	| 8.144484580866434e-06
8^ 7^ 2 5 	| 5.020612416333958e-06
10^ 7^ 2 5 	| -1.309300660034691e-05
8^ 9^ 2 5 	| -0.12089978316761088
8^ 11^ 2 5 	| 9.353723641598346e-06
10^ 9^ 2 5 	| -1.132136510860525e-05
10^ 11^ 2 5 	| 0.08308340225252836
6^ 7^ 4 3 	| -0.1207270834562192
6^ 9^ 4 3 	| -3.327292857032492e-06
6^ 11^ 4 3 	| -1.27406885851484e-05
8^ 7^ 4 3 	| -2.8043804475626396e-06
10^ 7^ 4 3 	| 1.0998259762913072e-05
8^ 9^ 4 3 	| -0.12094942898997763
8^ 11^ 4 3 	| -1.6563416440626616e-05
10^ 9^ 4 3 	| 1.965288688164125e-05
10^ 11^ 4 3 	| 0.08313883005119851
7^ 9^ 3 5 	| 8.428990530102523e-06
7^ 11^ 3 5 	| 1.7752783537725649e-06
9^ 11^ 3 5 	| 1.446176064876625e-06
6^ 7^ 4 5 	| 0.10192116922695095
6^ 9^ 4 5 	| 7.259690524483384e-06
6^ 11^ 4 5 	| 4.834047009949859e-06
8^ 7^ 4 5 	| -6.832464431723934e-06
10^ 7^ 4 5 	| -1.4880973943770457e-05
8^ 9^ 4 5 	| 0.10205180100357308
8^ 11^ 4 5 	| 1.1435824205228582e-05
10^ 9^ 4 5 	| 8.082109250885655e-06
10^ 11^ 4 5 	| 0.3986150642616628
6^ 0 	| -5.473592094624996e-07
8^ 0 	| -2.953063108720292e-07
10^ 0 	| 0.00017705298557958019
7^ 1 	| -5.473592094624996e-07
9^ 1 	| -2.953063108720292e-07
11^ 1 	| 0.00017705298557958019
6^ 2 	| 1.070311358929178e-06
8^ 2 	| -3.383621172993747e-06
10^ 2 	| -0.0663621535551325
7^ 3 	| 1.070311358929178e-06
9^ 3 	| -3.383621172993747e-06
11^ 3 	| -0.0663621535551325
6^ 4 	| -2.2386636211381345e-06
8^ 4 	| -2.417424997988921e-05
10^ 4 	| -0.005753478092596482
7^ 5 	| -2.2386636211381345e-06
9^ 5 	| -2.417424997988921e-05
11^ 5 	| -0.005753478092596482
