R1/R2
Excitations | Coefficients
6^ 0	| (1.8612054219212856e-10+0j)
8^ 0	| (-5.880073659139159e-10+0j)
10^ 0	| (-1.1421457589657676e-10+0j)
7^ 1	| (-4.280331443095231e-10+0j)
9^ 1	| (4.113191834170359e-10+0j)
11^ 1	| (-6.985252491942794e-11+0j)
6^ 2	| (-1.0764916682360172e-07+0j)
8^ 2	| (5.3142454987518887e-08+0j)
10^ 2	| (8.309468433414078e-08+0j)
7^ 3	| (8.592396044389083e-08+0j)
9^ 3	| (-8.180725065184848e-08+0j)
11^ 3	| (1.569596726559516e-08+0j)
6^ 4	| (-4.5916518266606934e-08+0j)
8^ 4	| (1.7894107660858473e-07+0j)
10^ 4	| (5.317049095041503e-08+0j)
7^ 5	| (-1.41461476574858e-08+0j)
9^ 5	| (5.344671529677923e-08+0j)
11^ 5	| (-2.6428440056632836e-08+0j)
6^ 0; 7^ 1	| (-1.102028553212412e-09+0j)
6^ 0; 9^ 1	| (-0.0017176254612329119+0j)
6^ 0; 11^ 1	| (1.577400538619145e-09+0j)
8^ 0; 7^ 1	| (-0.0017176254612318584+0j)
8^ 0; 9^ 1	| (-1.1020307979144248e-09+0j)
8^ 0; 11^ 1	| (-9.876504039762286e-10+0j)
10^ 0; 7^ 1	| (-1.1254200663659973e-10+0j)
10^ 0; 9^ 1	| (-1.4396390950969179e-09+0j)
10^ 0; 11^ 1	| (2.1353187727333082e-11+0j)
6^ 0; 8^ 2	| (-0.002146382640332261+0j)
6^ 0; 10^ 2	| (5.558156514561598e-10+0j)
8^ 0; 10^ 2	| (-1.6170908641465823e-09+0j)
6^ 0; 7^ 3	| (-5.826329621893719e-10+0j)
6^ 0; 9^ 3	| (-0.0010695888786187346+0j)
6^ 0; 11^ 3	| (6.388016232752252e-10+0j)
8^ 0; 7^ 3	| (-0.0010695888786134303+0j)
8^ 0; 9^ 3	| (-5.826334618228222e-10+0j)
8^ 0; 11^ 3	| (-7.65761967689266e-10+0j)
10^ 0; 7^ 3	| (2.5468420598488835e-10+0j)
10^ 0; 9^ 3	| (-8.353444591050549e-10+0j)
10^ 0; 11^ 3	| (-1.4986310062442512e-10+0j)
6^ 0; 8^ 4	| (0.001719370837207328+0j)
6^ 0; 10^ 4	| (-2.839549768752172e-09+0j)
8^ 0; 10^ 4	| (3.2835877593023312e-09+0j)
6^ 0; 7^ 5	| (-1.910776985429158e-09+0j)
6^ 0; 9^ 5	| (0.0010356953038534247+0j)
6^ 0; 11^ 5	| (7.167561238891129e-11+0j)
8^ 0; 7^ 5	| (0.001035695303852764+0j)
8^ 0; 9^ 5	| (-1.910775743052656e-09+0j)
8^ 0; 11^ 5	| (1.4240899468534432e-09+0j)
10^ 0; 7^ 5	| (-1.9405245239018086e-09+0j)
10^ 0; 9^ 5	| (3.6506984782208446e-09+0j)
10^ 0; 11^ 5	| (1.578852187812583e-11+0j)
7^ 1; 6^ 2	| (2.715076167596468e-10+0j)
7^ 1; 8^ 2	| (0.0010695882276723781+0j)
7^ 1; 10^ 2	| (-4.066083392094357e-10+0j)
9^ 1; 6^ 2	| (0.0010695882276760343+0j)
9^ 1; 8^ 2	| (2.7151191536616626e-10+0j)
9^ 1; 10^ 2	| (7.722832817456765e-10+0j)
11^ 1; 6^ 2	| (-5.175323342018513e-10+0j)
11^ 1; 8^ 2	| (9.208546975027151e-10+0j)
11^ 1; 10^ 2	| (1.058936201957166e-10+0j)
7^ 1; 9^ 3	| (0.0021463840750867162+0j)
7^ 1; 11^ 3	| (-7.420335859691996e-10+0j)
9^ 1; 11^ 3	| (1.2887710690208246e-09+0j)
7^ 1; 6^ 4	| (1.841448229071093e-10+0j)
7^ 1; 8^ 4	| (-0.0010356958281076527+0j)
7^ 1; 10^ 4	| (1.8348136559405904e-10+0j)
9^ 1; 6^ 4	| (-0.001035695828101318+0j)
9^ 1; 8^ 4	| (1.8414417368647832e-10+0j)
9^ 1; 10^ 4	| (-2.2559209006830048e-09+0j)
11^ 1; 6^ 4	| (1.244577868070967e-09+0j)
11^ 1; 8^ 4	| (-2.284961068413785e-09+0j)
11^ 1; 10^ 4	| (-4.592973377675408e-10+0j)
7^ 1; 9^ 5	| (-0.001719370874852619+0j)
7^ 1; 11^ 5	| (1.5399864003290291e-09+0j)
9^ 1; 11^ 5	| (-4.182584186816707e-09+0j)
6^ 2; 7^ 3	| (-1.3629984043585136e-08+0j)
6^ 2; 9^ 3	| (0.6010264281466043+0j)
6^ 2; 11^ 3	| (-2.059609947120769e-07+0j)
8^ 2; 7^ 3	| (0.6010264281462605+0j)
8^ 2; 9^ 3	| (-1.3629770633467612e-08+0j)
8^ 2; 11^ 3	| (4.042174701244603e-07+0j)
10^ 2; 7^ 3	| (-2.285147857128069e-07+0j)
10^ 2; 9^ 3	| (4.6773142146461005e-07+0j)
10^ 2; 11^ 3	| (-3.5567514517337935e-09+0j)
6^ 2; 8^ 4	| (-0.25006101958924076+0j)
6^ 2; 10^ 4	| (3.7490402481177005e-07+0j)
8^ 2; 10^ 4	| (-5.348811858819613e-07+0j)
6^ 2; 7^ 5	| (-5.054319572482985e-09+0j)
6^ 2; 9^ 5	| (-0.18801410278443328+0j)
6^ 2; 11^ 5	| (6.709848053910998e-08+0j)
8^ 2; 7^ 5	| (-0.1880141027841174+0j)
8^ 2; 9^ 5	| (-5.054695370144363e-09+0j)
8^ 2; 11^ 5	| (-1.7435456194834838e-07+0j)
10^ 2; 7^ 5	| (1.595752885476764e-07+0j)
10^ 2; 9^ 5	| (-2.7423352781946454e-07+0j)
10^ 2; 11^ 5	| (-5.827351975853302e-09+0j)
7^ 3; 6^ 4	| (3.0486272078129033e-09+0j)
