Active electrons: 6
Active orbitals: 6
HF energy: -24.98199867342348
UCCSD energy: -25.058546027080066

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00022165208604322026
6^ 9^ 0 1 	| -1.8253577964089082e-09
6^ 11^ 0 1 	| 5.883571542261569e-09
8^ 7^ 0 1 	| 2.0418741185565416e-08
10^ 7^ 0 1 	| 6.274992305141815e-10
8^ 9^ 0 1 	| -0.00022165836718060985
8^ 11^ 0 1 	| -2.0143213037328036e-08
10^ 9^ 0 1 	| 1.7450263921936734e-08
10^ 11^ 0 1 	| -0.0003294043292277062
6^ 8^ 0 2 	| -1.2226085482131579e-08
6^ 10^ 0 2 	| -3.818104931042709e-08
8^ 10^ 0 2 	| -8.530479536635394e-10
6^ 7^ 0 3 	| -0.0014642509272331018
6^ 9^ 0 3 	| -1.1047170518682487e-08
6^ 11^ 0 3 	| -1.6942800254671623e-08
8^ 7^ 0 3 	| 1.1676316208083793e-08
10^ 7^ 0 3 	| 1.4437025412649665e-08
8^ 9^ 0 3 	| -0.0014642525152724615
8^ 11^ 0 3 	| -2.3145008728409594e-09
10^ 9^ 0 3 	| 2.7089276951577162e-08
10^ 11^ 0 3 	| -0.0008496519162390014
6^ 8^ 0 4 	| -2.1460274831691968e-09
6^ 10^ 0 4 	| 1.2888354470900338e-08
8^ 10^ 0 4 	| -5.2532613699647375e-09
6^ 7^ 0 5 	| 0.00017641777518863009
6^ 9^ 0 5 	| -1.654355962887673e-08
6^ 11^ 0 5 	| -7.409956123305325e-09
8^ 7^ 0 5 	| 1.4310901787712374e-08
10^ 7^ 0 5 	| 1.9629762223330505e-08
8^ 9^ 0 5 	| 0.00017638832267156173
8^ 11^ 0 5 	| -2.2059037646611893e-08
10^ 9^ 0 5 	| 1.2867307774636435e-08
10^ 11^ 0 5 	| -0.00011545418437645499
6^ 7^ 2 1 	| -0.0014642414647104529
6^ 9^ 2 1 	| 1.531699821532588e-08
6^ 11^ 2 1 	| 2.7996482130500794e-08
8^ 7^ 2 1 	| 1.6140459808763934e-08
10^ 7^ 2 1 	| -1.131586336725587e-08
8^ 9^ 2 1 	| -0.0014642208822676593
8^ 11^ 2 1 	| 6.517300122106874e-09
10^ 9^ 2 1 	| -1.6331953653479194e-08
10^ 11^ 2 1 	| -0.0008496280432505006
7^ 9^ 1 3 	| -2.592549851511419e-09
7^ 11^ 1 3 	| -7.705401484049735e-09
9^ 11^ 1 3 	| 2.767040885945392e-10
6^ 7^ 4 1 	| 0.00017643826729265227
6^ 9^ 4 1 	| 4.613167375313446e-09
6^ 11^ 4 1 	| -5.89243588258503e-09
8^ 7^ 4 1 	| 9.728316727836311e-09
10^ 7^ 4 1 	| 1.229281914310234e-08
8^ 9^ 4 1 	| 0.0001764279908420166
8^ 11^ 4 1 	| -4.3962326482925854e-10
10^ 9^ 4 1 	| -1.4251860579051281e-08
10^ 11^ 4 1 	| -0.0001154281848753937
7^ 9^ 1 5 	| -4.675761963356715e-09
7^ 11^ 1 5 	| -5.494868390574821e-09
9^ 11^ 1 5 	| 4.1735924022035204e-09
6^ 7^ 2 3 	| -0.14323143136233832
6^ 9^ 2 3 	| -1.1260651774323968e-07
6^ 11^ 2 3 	| 4.684740077012863e-08
8^ 7^ 2 3 	| 1.1702111538710496e-07
10^ 7^ 2 3 	| 1.8225557082792708e-07
8^ 9^ 2 3 	| -0.14323144725675138
8^ 11^ 2 3 	| 9.666208970519965e-08
10^ 9^ 2 3 	| 1.5002127433349024e-07
10^ 11^ 2 3 	| -0.03898353201189682
6^ 8^ 2 4 	| -1.5516799140756118e-07
6^ 10^ 2 4 	| -2.1925288430070135e-08
8^ 10^ 2 4 	| -2.3370108601365012e-07
6^ 7^ 2 5 	| 0.02927739979939502
6^ 9^ 2 5 	| -1.9151392921977576e-07
6^ 11^ 2 5 	| -1.6956413682027754e-07
8^ 7^ 2 5 	| 2.1398361223031388e-07
10^ 7^ 2 5 	| -2.480684478602782e-07
8^ 9^ 2 5 	| 0.02927740825189851
8^ 11^ 2 5 	| -8.74483724581195e-08
10^ 9^ 2 5 	| 3.3117088105806457e-07
10^ 11^ 2 5 	| -0.014889835692152915
6^ 7^ 4 3 	| 0.02927740982461483
6^ 9^ 4 3 	| 2.0823720178185358e-07
6^ 11^ 4 3 	| 1.9180279384242409e-07
8^ 7^ 4 3 	| -2.1183181227032196e-07
10^ 7^ 4 3 	| -1.6428073194963796e-07
8^ 9^ 4 3 	| 0.029277600510786126
8^ 11^ 4 3 	| -1.0797698865926195e-07
10^ 9^ 4 3 	| 9.81987502942506e-09
10^ 11^ 4 3 	| -0.014889353324581947
7^ 9^ 3 5 	| 4.645791780759618e-08
7^ 11^ 3 5 	| -6.732987619984495e-08
9^ 11^ 3 5 	| 9.25486479300203e-08
6^ 7^ 4 5 	| -0.012479391943608056
6^ 9^ 4 5 	| -8.388336678702047e-08
6^ 11^ 4 5 	| -8.402324121907545e-07
8^ 7^ 4 5 	| 3.562960992353922e-08
10^ 7^ 4 5 	| -2.7145854394480536e-07
8^ 9^ 4 5 	| -0.012479243670114399
8^ 11^ 4 5 	| -1.8951994997708347e-07
10^ 9^ 4 5 	| -1.810230338793675e-07
10^ 11^ 4 5 	| -0.37546760909944704
6^ 0 	| -1.516509901443746e-08
8^ 0 	| -8.9705024386549e-09
10^ 0 	| 6.38973384939235e-05
7^ 1 	| -1.516509901443746e-08
9^ 1 	| -8.9705024386549e-09
11^ 1 	| 6.38973384939235e-05
6^ 2 	| -1.4252911990042416e-07
8^ 2 	| -1.4450575023050744e-08
10^ 2 	| -0.042561373250352814
7^ 3 	| -1.4252911990042416e-07
9^ 3 	| -1.4450575023050744e-08
11^ 3 	| -0.042561373250352814
6^ 4 	| -8.228226409229269e-07
8^ 4 	| -4.5522006312792044e-07
10^ 4 	| -0.07350587195595817
7^ 5 	| -8.228226409229269e-07
9^ 5 	| -4.5522006312792044e-07
11^ 5 	| -0.07350587195595817
