Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.00044990160846392454
6^ 9^ 0 1 	| -9.599777251137636e-07
6^ 11^ 0 1 	| -9.809993962989047e-07
8^ 7^ 0 1 	| -4.0050193830692214e-09
10^ 7^ 0 1 	| 6.54938290811125e-07
8^ 9^ 0 1 	| 0.00044081172597914707
8^ 11^ 0 1 	| -4.785137449493881e-07
10^ 9^ 0 1 	| -6.858749182172245e-07
10^ 11^ 0 1 	| 0.0006353794708107873
6^ 8^ 0 2 	| 2.201749937116401e-06
6^ 10^ 0 2 	| 1.271873875080919e-06
8^ 10^ 0 2 	| 1.0394806617900899e-06
6^ 7^ 0 3 	| 0.0029168315330658106
6^ 9^ 0 3 	| -6.304946369017351e-07
6^ 11^ 0 3 	| 1.5902004489401036e-06
8^ 7^ 0 3 	| 1.022158497216134e-06
10^ 7^ 0 3 	| -8.793116619910922e-07
8^ 9^ 0 3 	| 0.0029138921876836073
8^ 11^ 0 3 	| 9.067873209656852e-07
10^ 9^ 0 3 	| -8.943644062155878e-07
10^ 11^ 0 3 	| 0.0016357835832354734
6^ 8^ 0 4 	| -1.2780257642576727e-06
6^ 10^ 0 4 	| 4.910229759936165e-07
8^ 10^ 0 4 	| 2.2603637596878576e-06
6^ 7^ 0 5 	| -0.0003455417431068807
6^ 9^ 0 5 	| 1.214178955203584e-06
6^ 11^ 0 5 	| -1.082093550581651e-06
8^ 7^ 0 5 	| -7.538873563440348e-07
10^ 7^ 0 5 	| -1.0637945294389387e-06
8^ 9^ 0 5 	| -0.00033895211207418853
8^ 11^ 0 5 	| -7.457707584472315e-07
10^ 9^ 0 5 	| -1.9142874405042148e-06
10^ 11^ 0 5 	| 0.00020568714105139745
6^ 7^ 2 1 	| 0.002915469852707151
6^ 9^ 2 1 	| 1.4968562241257036e-07
6^ 11^ 2 1 	| -1.336952524676555e-06
8^ 7^ 2 1 	| 3.3285803653845985e-07
10^ 7^ 2 1 	| -6.57727274228656e-07
8^ 9^ 2 1 	| 0.002912634009476958
8^ 11^ 2 1 	| -8.079562718379305e-07
10^ 9^ 2 1 	| 6.038843466292972e-08
10^ 11^ 2 1 	| 0.0016360220720829642
7^ 9^ 1 3 	| 8.941537617874807e-07
7^ 11^ 1 3 	| 1.820816948986892e-06
9^ 11^ 1 3 	| -1.1861904371705987e-06
6^ 7^ 4 1 	| -0.0003471115435129646
6^ 9^ 4 1 	| 1.055461103216373e-06
6^ 11^ 4 1 	| 7.343123092496532e-07
8^ 7^ 4 1 	| 1.626785257786736e-07
10^ 7^ 4 1 	| -1.926039658221678e-06
8^ 9^ 4 1 	| -0.000340265715813169
8^ 11^ 4 1 	| 1.3215840711330288e-06
10^ 9^ 4 1 	| 3.1781146989706024e-07
10^ 11^ 4 1 	| 0.00020564860433614366
7^ 9^ 1 5 	| 2.1116879263044076e-06
7^ 11^ 1 5 	| 1.0254639585218158e-06
9^ 11^ 1 5 	| -3.247044491669714e-07
6^ 7^ 2 3 	| 0.2864438046819692
6^ 9^ 2 3 	| 8.950248252614131e-06
6^ 11^ 2 3 	| 6.648388485416488e-06
8^ 7^ 2 3 	| -9.040302742285908e-06
10^ 7^ 2 3 	| -1.0302831167476192e-05
8^ 9^ 2 3 	| 0.28939804776698863
8^ 11^ 2 3 	| 1.1801841489753081e-05
10^ 9^ 2 3 	| -7.89497117009119e-06
10^ 11^ 2 3 	| 0.07593895535602219
6^ 8^ 2 4 	| 2.218480638298278e-05
6^ 10^ 2 4 	| 1.0963987379729663e-05
8^ 10^ 2 4 	| -4.998849274479594e-06
6^ 7^ 2 5 	| -0.05599947097115159
6^ 9^ 2 5 	| 6.788471614777257e-06
6^ 11^ 2 5 	| 3.739977859111584e-06
8^ 7^ 2 5 	| -1.1588715134743056e-05
10^ 7^ 2 5 	| -1.3027298199232304e-05
8^ 9^ 2 5 	| -0.05596571360617009
8^ 11^ 2 5 	| 1.5685743852334146e-05
10^ 9^ 2 5 	| -2.5518660366642044e-05
10^ 11^ 2 5 	| 0.025538122217240635
6^ 7^ 4 3 	| -0.0559699860729701
6^ 9^ 4 3 	| 4.405292914271393e-06
6^ 11^ 4 3 	| 1.4893883469392697e-06
8^ 7^ 4 3 	| -8.278559038858224e-06
10^ 7^ 4 3 	| -4.195895988828191e-06
8^ 9^ 4 3 	| -0.0559897784232329
8^ 11^ 4 3 	| -1.2504849467937744e-05
10^ 9^ 4 3 	| 8.053274385368275e-06
10^ 11^ 4 3 	| 0.02553585991617554
7^ 9^ 3 5 	| -3.5062380554131023e-06
7^ 11^ 3 5 	| -1.1202747542777857e-06
9^ 11^ 3 5 	| -9.493163477607452e-06
6^ 7^ 4 5 	| 0.022528794192671422
6^ 9^ 4 5 	| -8.686505396596565e-06
6^ 11^ 4 5 	| -8.138302513613984e-06
8^ 7^ 4 5 	| 8.743193951780271e-07
10^ 7^ 4 5 	| 9.796553030773717e-06
8^ 9^ 4 5 	| 0.022530057604371642
8^ 11^ 4 5 	| 1.9050418006984915e-06
10^ 9^ 4 5 	| 4.422914258993863e-06
10^ 11^ 4 5 	| 0.750229914444173
6^ 0 	| 2.960707949066118e-07
8^ 0 	| -2.3309113803811672e-07
10^ 0 	| 0.000175854452716299
7^ 1 	| 2.960707949066118e-07
9^ 1 	| -2.3309113803811672e-07
11^ 1 	| 0.000175854452716299
6^ 2 	| 2.9450889748284194e-06
8^ 2 	| 9.867575106477441e-07
10^ 2 	| -0.08896443021371009
7^ 3 	| 2.9450889748284194e-06
