R1/R2
Excitations | Coefficients
6^ 0	| (-2.1636127517469893e-11+0j)
8^ 0	| (-5.9044660226398e-11+0j)
10^ 0	| (-2.5090943112373768e-11+0j)
7^ 1	| (2.6456391568873607e-11+0j)
9^ 1	| (2.0588322817578223e-11+0j)
11^ 1	| (-5.71788138515413e-12+0j)
6^ 2	| (6.28816091320828e-09+0j)
8^ 2	| (4.789033430579862e-09+0j)
10^ 2	| (2.726916364279932e-09+0j)
7^ 3	| (-5.430558478867257e-09+0j)
9^ 3	| (-1.4615242722828794e-08+0j)
11^ 3	| (-3.1012935701912852e-09+0j)
6^ 4	| (1.4152570082248647e-09+0j)
8^ 4	| (1.7659300760681585e-09+0j)
10^ 4	| (-6.109346426107959e-10+0j)
7^ 5	| (-1.3142720116722212e-09+0j)
9^ 5	| (-2.7537569277890645e-09+0j)
11^ 5	| (1.6779150868615264e-10+0j)
6^ 0; 7^ 1	| (1.0600500369280565e-10+0j)
6^ 0; 9^ 1	| (-3.72518068717355e-11+0j)
6^ 0; 11^ 1	| (-4.522330377161473e-12+0j)
8^ 0; 7^ 1	| (4.3049460139341154e-11+0j)
8^ 0; 9^ 1	| (-8.10283614874805e-11+0j)
8^ 0; 11^ 1	| (1.6896644487199622e-11+0j)
10^ 0; 7^ 1	| (-6.091867066244283e-13+0j)
10^ 0; 9^ 1	| (2.3376274725716282e-11+0j)
10^ 0; 11^ 1	| (-6.707704707971466e-12+0j)
6^ 0; 8^ 2	| (3.6328777884960397e-10+0j)
6^ 0; 10^ 2	| (5.496682974413804e-05+0j)
8^ 0; 10^ 2	| (-3.319463323557689e-05+0j)
6^ 0; 7^ 3	| (2.7422521849278185e-10+0j)
6^ 0; 9^ 3	| (2.9379946414858496e-10+0j)
6^ 0; 11^ 3	| (5.496680395427713e-05+0j)
8^ 0; 7^ 3	| (5.961964142882455e-10+0j)
8^ 0; 9^ 3	| (9.552203269477295e-11+0j)
8^ 0; 11^ 3	| (-3.319461421468868e-05+0j)
10^ 0; 7^ 3	| (5.496645528029797e-05+0j)
10^ 0; 9^ 3	| (-3.319519239898724e-05+0j)
10^ 0; 11^ 3	| (1.259249239403978e-09+0j)
6^ 0; 8^ 4	| (1.1747878662008067e-10+0j)
6^ 0; 10^ 4	| (-0.0005074309348037093+0j)
8^ 0; 10^ 4	| (0.0003064426306620922+0j)
6^ 0; 7^ 5	| (7.538518010571403e-11+0j)
6^ 0; 9^ 5	| (-5.394544607423798e-13+0j)
6^ 0; 11^ 5	| (-0.0005074309571220669+0j)
