Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.0001443540829383841
6^ 9^ 0 1 	| -1.1751925461744979e-08
6^ 11^ 0 1 	| -2.9070842169259648e-08
8^ 7^ 0 1 	| -1.066343008586281e-08
10^ 7^ 0 1 	| -1.4087217725497936e-08
8^ 9^ 0 1 	| -0.0001443657166281999
8^ 11^ 0 1 	| -8.829326386860386e-09
10^ 9^ 0 1 	| 2.0901654563433597e-08
10^ 11^ 0 1 	| -0.00042902553597695225
6^ 8^ 0 2 	| 2.6588856147724324e-09
6^ 10^ 0 2 	| 8.568899049802127e-09
8^ 10^ 0 2 	| -1.1397163557080998e-08
6^ 7^ 0 3 	| -0.0010184395215447953
6^ 9^ 0 3 	| -5.160093696511034e-09
6^ 11^ 0 3 	| -1.587176733608172e-08
8^ 7^ 0 3 	| 2.0335786210668346e-08
10^ 7^ 0 3 	| 9.88648526726837e-09
8^ 9^ 0 3 	| -0.001018437858862254
8^ 11^ 0 3 	| -2.0918422255138968e-08
10^ 9^ 0 3 	| 1.804136524096748e-08
10^ 11^ 0 3 	| -0.0001318679592208197
6^ 8^ 0 4 	| -1.9949088838312747e-08
6^ 10^ 0 4 	| -9.418755753047155e-09
8^ 10^ 0 4 	| -3.567088429413146e-08
6^ 7^ 0 5 	| -0.0006702438042944358
6^ 9^ 0 5 	| -1.992622050756223e-08
6^ 11^ 0 5 	| -2.5294561737820266e-08
8^ 7^ 0 5 	| 1.078127424838438e-08
10^ 7^ 0 5 	| 3.073089933769753e-08
8^ 9^ 0 5 	| -0.0006702679871167536
8^ 11^ 0 5 	| -1.2360391784984872e-08
10^ 9^ 0 5 	| 2.1642332256210042e-08
10^ 11^ 0 5 	| -0.00027345035232903124
6^ 7^ 2 1 	| -0.001018426408693472
6^ 9^ 2 1 	| 1.6264842555418475e-08
6^ 11^ 2 1 	| 1.3401241766878178e-08
8^ 7^ 2 1 	| -3.7663878370540525e-08
10^ 7^ 2 1 	| -7.665156867483967e-09
8^ 9^ 2 1 	| -0.0010184325087021547
8^ 11^ 2 1 	| 2.2999047192095894e-08
10^ 9^ 2 1 	| -4.9954935880944827e-08
10^ 11^ 2 1 	| -0.00013189719750115902
7^ 9^ 1 3 	| 2.2084636215689686e-08
7^ 11^ 1 3 	| 6.86713127755203e-09
9^ 11^ 1 3 	| -4.639390282506846e-08
6^ 7^ 4 1 	| -0.00067024850926335
6^ 9^ 4 1 	| -3.307073441681724e-08
6^ 11^ 4 1 	| 5.525971249899393e-10
8^ 7^ 4 1 	| 2.6487733663701657e-09
10^ 7^ 4 1 	| 4.3904592823785907e-10
8^ 9^ 4 1 	| -0.0006702455211785489
8^ 11^ 4 1 	| 2.5766596139471226e-08
10^ 9^ 4 1 	| -2.23707384068461e-08
10^ 11^ 4 1 	| -0.000273415769368275
7^ 9^ 1 5 	| -1.0974752276460874e-08
7^ 11^ 1 5 	| -1.6927672996135008e-08
