Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.00029477491680894146
6^ 9^ 0 1 	| 7.043330839282911e-07
6^ 11^ 0 1 	| -8.164393082611001e-07
8^ 7^ 0 1 	| 3.3853512809713914e-07
10^ 7^ 0 1 	| 3.511389185575427e-07
8^ 9^ 0 1 	| 0.0002890678705376662
8^ 11^ 0 1 	| -6.17871871210278e-07
10^ 9^ 0 1 	| 5.7244505154937644e-08
10^ 11^ 0 1 	| 0.0008549622803484621
6^ 8^ 0 2 	| -1.0838005695228293e-07
6^ 10^ 0 2 	| 9.562734583292012e-07
8^ 10^ 0 2 	| -1.395394705406449e-06
6^ 7^ 0 3 	| 0.0020358002887178807
6^ 9^ 0 3 	| 2.922144849999395e-07
6^ 11^ 0 3 	| -6.815615798464317e-07
8^ 7^ 0 3 	| -4.0823262333008597e-07
10^ 7^ 0 3 	| 1.2059693424988277e-07
8^ 9^ 0 3 	| 0.0019986123626484476
8^ 11^ 0 3 	| -3.2804181588199273e-07
10^ 9^ 0 3 	| 1.1175934067694393e-06
10^ 11^ 0 3 	| 0.000252163721662558
6^ 8^ 0 4 	| -6.134265126121658e-08
6^ 10^ 0 4 	| -3.392774901861447e-07
8^ 10^ 0 4 	| -1.6526038128002707e-06
6^ 7^ 0 5 	| 0.0013483473528792813
6^ 9^ 0 5 	| -1.545935519479995e-07
6^ 11^ 0 5 	| 1.4403405812977599e-07
8^ 7^ 0 5 	| 2.8467802340042886e-06
10^ 7^ 0 5 	| 1.3411101061332063e-06
8^ 9^ 0 5 	| 0.0013380547601741012
8^ 11^ 0 5 	| -1.3426860747456293e-06
10^ 9^ 0 5 	| -5.050218750717892e-07
10^ 11^ 0 5 	| 0.0005490428074751525
6^ 7^ 2 1 	| 0.0020356408862387586
6^ 9^ 2 1 	| -1.4539051797578884e-07
6^ 11^ 2 1 	| 2.1364157895260632e-07
8^ 7^ 2 1 	| -2.936824193426524e-07
10^ 7^ 2 1 	| -1.934255116486979e-06
8^ 9^ 2 1 	| 0.0019965703988612114
8^ 11^ 2 1 	| -1.12460264547439e-06
10^ 9^ 2 1 	| -1.0996417945816637e-06
10^ 11^ 2 1 	| 0.00025162908944003254
7^ 9^ 1 3 	| -2.376928128680845e-07
7^ 11^ 1 3 	| 7.644773033362218e-07
9^ 11^ 1 3 	| -2.6963695907985705e-07
6^ 7^ 4 1 	| 0.0013453242959477645
6^ 9^ 4 1 	| 1.7719794471050516e-06
6^ 11^ 4 1 	| 7.954051588140611e-07
8^ 7^ 4 1 	| -8.497446687880891e-09
10^ 7^ 4 1 	| 1.1373653042887747e-06
8^ 9^ 4 1 	| 0.001339030303191266
8^ 11^ 4 1 	| -1.8369716410954397e-06
10^ 9^ 4 1 	| 4.313300118628213e-07
10^ 11^ 4 1 	| 0.0005481573095450436
7^ 9^ 1 5 	| -2.8824178727702357e-07
7^ 11^ 1 5 	| -1.4849565060021086e-06
9^ 11^ 1 5 	| -1.0601116911787252e-06
6^ 7^ 2 3 	| 0.10144201532557161
6^ 9^ 2 3 	| -5.5047582217964195e-06
6^ 11^ 2 3 	| -8.947367017453202e-06
8^ 7^ 2 3 	| 6.93243030671246e-07
10^ 7^ 2 3 	| 6.26198299670947e-06
8^ 9^ 2 3 	| 0.09999288291017404
8^ 11^ 2 3 	| -5.031349167099252e-06
10^ 9^ 2 3 	| 5.365591705787786e-06
10^ 11^ 2 3 	| 0.06696099233912672
6^ 8^ 2 4 	| -1.7500854597044784e-05
6^ 10^ 2 4 	| -1.3606148459061352e-06
8^ 10^ 2 4 	| -5.527108732295873e-06
6^ 7^ 2 5 	| 0.11191544116442972
6^ 9^ 2 5 	| 2.419370474147489e-07
6^ 11^ 2 5 	| -8.783277761107738e-06
8^ 7^ 2 5 	| -3.8921575977851614e-06
10^ 7^ 2 5 	| 1.4390824680566742e-07
8^ 9^ 2 5 	| 0.11176879483276178
8^ 11^ 2 5 	| 1.7345939353339476e-06
10^ 9^ 2 5 	| 3.847361756827865e-06
10^ 11^ 2 5 	| -0.048173396794323024
6^ 7^ 4 3 	| 0.11168226744325946
6^ 9^ 4 3 	| -6.310087461920441e-06
6^ 11^ 4 3 	| 1.8160020291966475e-06
8^ 7^ 4 3 	| -6.680536817568532e-06
10^ 7^ 4 3 	| -6.2210514285769345e-06
8^ 9^ 4 3 	| 0.11187942054088962
8^ 11^ 4 3 	| -7.108995188606948e-08
10^ 9^ 4 3 	| -2.678306143745481e-07
10^ 11^ 4 3 	| -0.04818893465437893
7^ 9^ 3 5 	| -3.8884403953677004e-07
7^ 11^ 3 5 	| 1.7181669581234672e-06
9^ 11^ 3 5 	| -5.0442213740036555e-06
6^ 7^ 4 5 	| 0.24977970961916351
6^ 9^ 4 5 	| -1.9245402463710558e-05
6^ 11^ 4 5 	| -5.0404528584844556e-06
8^ 7^ 4 5 	| 1.6494042089624068e-05
10^ 7^ 4 5 	| 7.189864905387715e-06
8^ 9^ 4 5 	| 0.2516621303824507
8^ 11^ 4 5 	| -5.039572038685146e-06
10^ 9^ 4 5 	| 4.029195345344462e-07
10^ 11^ 4 5 	| 0.11578340727643456
6^ 0 	| -1.198363081219921e-06
8^ 0 	| -3.348683008944594e-07
10^ 0 	| 9.586749291562322e-05
7^ 1 	| -1.198363081219921e-06
9^ 1 	| -3.348683008944594e-07
11^ 1 	| 9.586749291562322e-05
6^ 2 	| 1.59054881046479e-06
8^ 2 	| 6.244007400669059e-07
10^ 2 	| -0.021586917896444045
7^ 3 	| 1.59054881046479e-06
9^ 3 	| 6.244007400669059e-07
11^ 3 	| -0.021586917896444045
6^ 4 	| 1.2307347355294602e-06
8^ 4 	| -1.5293046382797987e-06
10^ 4 	| -0.0322937963055866
7^ 5 	| 1.2307347355294602e-06
9^ 5 	| -1.5293046382797987e-06
11^ 5 	| -0.0322937963055866
