R1/R2
Excitations | Coefficients
6^ 0	| (-5.1542510080928e-10+0j)
8^ 0	| (-1.8074004086756947e-10+0j)
10^ 0	| (-0.0008832548733611983+0j)
7^ 1	| (9.33743643122983e-10+0j)
9^ 1	| (4.1048811098498217e-10+0j)
11^ 1	| (0.0008832560868762571+0j)
6^ 2	| (3.5507931638573354e-07+0j)
8^ 2	| (1.065309471253592e-07+0j)
10^ 2	| (0.6150103403386754+0j)
7^ 3	| (-3.6347199246232375e-07+0j)
9^ 3	| (-1.3134183849822383e-07+0j)
11^ 3	| (-0.6150106668055371+0j)
6^ 4	| (-5.99225642065083e-08+0j)
8^ 4	| (4.1663236956588516e-08+0j)
10^ 4	| (0.18613676263989026+0j)
7^ 5	| (-1.9527000979912735e-09+0j)
9^ 5	| (-1.159737412623827e-07+0j)
11^ 5	| (-0.18613671584527217+0j)
6^ 0; 7^ 1	| (3.746223655607616e-05+0j)
6^ 0; 9^ 1	| (3.0572906769720903e-10+0j)
6^ 0; 11^ 1	| (-3.5426946799520756e-10+0j)
8^ 0; 7^ 1	| (-8.413211872216781e-10+0j)
8^ 0; 9^ 1	| (3.7459891843007256e-05+0j)
8^ 0; 11^ 1	| (-5.006517819364293e-10+0j)
10^ 0; 7^ 1	| (1.542404767939407e-10+0j)
10^ 0; 9^ 1	| (2.4606643924721335e-10+0j)
10^ 0; 11^ 1	| (0.0007517146134400454+0j)
6^ 0; 8^ 2	| (1.0837901199763162e-10+0j)
6^ 0; 10^ 2	| (-9.849019680874218e-10+0j)
8^ 0; 10^ 2	| (1.5861239589384902e-09+0j)
6^ 0; 7^ 3	| (-2.224618561823479e-05+0j)
6^ 0; 9^ 3	| (-3.8469847768337505e-10+0j)
6^ 0; 11^ 3	| (-2.759287256451535e-10+0j)
8^ 0; 7^ 3	| (6.723659873837608e-10+0j)
8^ 0; 9^ 3	| (-2.2249435033766436e-05+0j)
8^ 0; 11^ 3	| (-3.4342650610565184e-09+0j)
10^ 0; 7^ 3	| (1.3335500748774987e-09+0j)
10^ 0; 9^ 3	| (1.012798872548422e-09+0j)
10^ 0; 11^ 3	| (0.0003785592477397219+0j)
6^ 0; 8^ 4	| (-3.0831997343973415e-09+0j)
6^ 0; 10^ 4	| (-2.477218384448275e-10+0j)
8^ 0; 10^ 4	| (-8.702404856467657e-10+0j)
6^ 0; 7^ 5	| (0.0001288206132539198+0j)
6^ 0; 9^ 5	| (-2.3739810236039384e-10+0j)
6^ 0; 11^ 5	| (1.1405105376702166e-09+0j)
8^ 0; 7^ 5	| (1.607896966854996e-09+0j)
8^ 0; 9^ 5	| (0.00012882573583667664+0j)
8^ 0; 11^ 5	| (-4.0393558525579085e-10+0j)
10^ 0; 7^ 5	| (-5.370077327136519e-10+0j)
10^ 0; 9^ 5	| (1.2822803841566528e-09+0j)
10^ 0; 11^ 5	| (-0.0005427633585794351+0j)
7^ 1; 6^ 2	| (2.2247138189277132e-05+0j)
7^ 1; 8^ 2	| (-6.319166286658311e-10+0j)
7^ 1; 10^ 2	| (1.637303880623336e-11+0j)
9^ 1; 6^ 2	| (-5.42116519240708e-10+0j)
9^ 1; 8^ 2	| (2.224630515831028e-05+0j)
9^ 1; 10^ 2	| (-3.4046258996212878e-09+0j)
11^ 1; 6^ 2	| (9.221850203496099e-10+0j)
11^ 1; 8^ 2	| (1.1815017163154724e-09+0j)
11^ 1; 10^ 2	| (-0.0003785590519027609+0j)
7^ 1; 9^ 3	| (7.894230838184823e-10+0j)
7^ 1; 11^ 3	| (-6.807205428530336e-10+0j)
9^ 1; 11^ 3	| (1.888284646742642e-09+0j)
7^ 1; 6^ 4	| (-0.000128821165917048+0j)
7^ 1; 8^ 4	| (-4.468947174338078e-10+0j)
7^ 1; 10^ 4	| (9.614573172647093e-10+0j)
9^ 1; 6^ 4	| (1.3570824199856065e-09+0j)
9^ 1; 8^ 4	| (-0.000128825020883381+0j)
9^ 1; 10^ 4	| (-5.76129620507234e-10+0j)
11^ 1; 6^ 4	| (-1.1111759788815333e-09+0j)
11^ 1; 8^ 4	| (9.41575485062382e-10+0j)
11^ 1; 10^ 4	| (0.0005427648288672704+0j)
7^ 1; 9^ 5	| (6.475573957453299e-10+0j)
7^ 1; 11^ 5	| (3.6427037446753773e-10+0j)
9^ 1; 11^ 5	| (-5.878697223264306e-11+0j)
6^ 2; 7^ 3	| (-0.051921953228736946+0j)
6^ 2; 9^ 3	| (7.381122376027343e-08+0j)
6^ 2; 11^ 3	| (1.7077234768141146e-07+0j)
8^ 2; 7^ 3	| (2.566333360934303e-07+0j)
8^ 2; 9^ 3	| (-0.05192158872184588+0j)
8^ 2; 11^ 3	| (3.374908929385254e-07+0j)
10^ 2; 7^ 3	| (-1.277275371850368e-07+0j)
10^ 2; 9^ 3	| (-2.859437388371769e-07+0j)
10^ 2; 11^ 3	| (0.15341595980851871+0j)
6^ 2; 8^ 4	| (6.182991916449544e-07+0j)
6^ 2; 10^ 4	| (3.4276724432272686e-07+0j)
8^ 2; 10^ 4	| (1.2899750489377492e-06+0j)
6^ 2; 7^ 5	| (-0.0821578826945058+0j)
6^ 2; 9^ 5	| (3.7170999375789846e-07+0j)
6^ 2; 11^ 5	| (-6.178974336062492e-08+0j)
8^ 2; 7^ 5	| (-3.4668342328879213e-07+0j)
8^ 2; 9^ 5	| (-0.08215942594395027+0j)
8^ 2; 11^ 5	| (5.3323025615867933e-08+0j)
10^ 2; 7^ 5	| (-1.930844056240726e-07+0j)
10^ 2; 9^ 5	| (-1.240068286851719e-06+0j)
10^ 2; 11^ 5	| (0.22026726500469593+0j)
7^ 3; 6^ 4	| (0.08215786969061271+0j)
7^ 3; 8^ 4	| (1.2075989663541314e-07+0j)
7^ 3; 10^ 4	| (-2.5544273378654682e-08+0j)
9^ 3; 6^ 4	| (-5.399741602429786e-07+0j)
9^ 3; 8^ 4	| (0.0821594216164429+0j)
9^ 3; 10^ 4	| (1.0586840080423915e-07+0j)
