Active electrons: 6
Active orbitals: 6
HF energy: -37.80412452858297
UCCSD energy: -37.86733159414191

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0008507212622298046
6^ 9^ 0 1 	| 6.281864609729306e-08
6^ 11^ 0 1 	| -1.2247510406781047e-06
8^ 7^ 0 1 	| 1.3476562450208151e-08
10^ 7^ 0 1 	| -5.567854015321344e-08
8^ 9^ 0 1 	| 0.0008354917215525672
8^ 11^ 0 1 	| -4.135104108698546e-08
10^ 9^ 0 1 	| -8.194816920962113e-07
10^ 11^ 0 1 	| 0.0007160229413485139
6^ 8^ 0 2 	| -2.892515990878647e-07
6^ 10^ 0 2 	| 1.3526041202547554e-06
8^ 10^ 0 2 	| 1.2975209005441296e-06
6^ 7^ 0 3 	| 0.003100649330053903
6^ 9^ 0 3 	| -1.5778095659869743e-06
6^ 11^ 0 3 	| 7.2118443943565e-07
8^ 7^ 0 3 	| 1.1371842377613494e-06
10^ 7^ 0 3 	| 9.726500123813143e-07
8^ 9^ 0 3 	| 0.0030836976306228736
8^ 11^ 0 3 	| 1.6660315146587257e-08
10^ 9^ 0 3 	| 1.8077801283801763e-07
10^ 11^ 0 3 	| 0.0010608709772494177
6^ 8^ 0 4 	| -2.5413214240235364e-06
6^ 10^ 0 4 	| 1.0680570593480564e-06
8^ 10^ 0 4 	| 1.2386835290584306e-06
6^ 7^ 0 5 	| -0.0006260279389112863
6^ 9^ 0 5 	| -8.002303696382309e-07
6^ 11^ 0 5 	| -2.2251785235471498e-07
8^ 7^ 0 5 	| -4.152999253554788e-07
10^ 7^ 0 5 	| 2.162172147067191e-06
8^ 9^ 0 5 	| -0.0006208647251872582
8^ 11^ 0 5 	| 4.086293780539657e-07
10^ 9^ 0 5 	| 1.6695847426124512e-06
10^ 11^ 0 5 	| -1.7700055539168516e-05
6^ 7^ 2 1 	| 0.003097097264845073
6^ 9^ 2 1 	| -3.8124668282515407e-07
6^ 11^ 2 1 	| 5.107263821361878e-07
8^ 7^ 2 1 	| -5.5625186927779245e-08
10^ 7^ 2 1 	| -4.1480334036354826e-07
8^ 9^ 2 1 	| 0.003082236142709994
8^ 11^ 2 1 	| -1.3387919978977308e-07
10^ 9^ 2 1 	| 4.384302864743488e-07
10^ 11^ 2 1 	| 0.0010599815069281128
7^ 9^ 1 3 	| 1.4887384867018212e-07
7^ 11^ 1 3 	| 6.669522441775033e-07
9^ 11^ 1 3 	| 5.90479994071011e-07
6^ 7^ 4 1 	| -0.0006264204650907184
6^ 9^ 4 1 	| -6.60780142181001e-07
6^ 11^ 4 1 	| 3.6338451496056065e-07
8^ 7^ 4 1 	| -5.206231348059957e-07
10^ 7^ 4 1 	| -2.197418530375923e-06
8^ 9^ 4 1 	| -0.0006178172386551041
8^ 11^ 4 1 	| 7.066365479791265e-07
10^ 9^ 4 1 	| 2.5955128677150323e-06
10^ 11^ 4 1 	| -1.724095479157973e-05
7^ 9^ 1 5 	| -1.0946179638594914e-06
7^ 11^ 1 5 	| 1.8499887361527023e-06
9^ 11^ 1 5 	| 1.5218701239818382e-06
6^ 7^ 2 3 	| 0.22812220055607527
6^ 9^ 2 3 	| -1.6710586599300947e-05
6^ 11^ 2 3 	| -1.150353330843949e-05
8^ 7^ 2 3 	| -3.827480038584114e-06
10^ 7^ 2 3 	| -1.0965260433237302e-05
8^ 9^ 2 3 	| 0.22897581553248192
8^ 11^ 2 3 	| 1.621875434800486e-05
10^ 9^ 2 3 	| -8.528525674170084e-06
10^ 11^ 2 3 	| 0.057067234010758014
6^ 8^ 2 4 	| -6.078400358106226e-06
6^ 10^ 2 4 	| 6.539127548820216e-06
8^ 10^ 2 4 	| -3.3584500899492747e-06
6^ 7^ 2 5 	| -0.08450534872811302
6^ 9^ 2 5 	| 3.1250092663132966e-05
6^ 11^ 2 5 	| 9.501391573022258e-06
8^ 7^ 2 5 	| -2.45523631394586e-05
10^ 7^ 2 5 	| -1.2755728744196799e-05
8^ 9^ 2 5 	| -0.08443028244066564
8^ 11^ 2 5 	| 3.7175150566000356e-06
10^ 9^ 2 5 	| -3.084337005487958e-05
10^ 11^ 2 5 	| 0.10160094438174473
6^ 7^ 4 3 	| -0.08423613020571995
6^ 9^ 4 3 	| -1.8919962995516733e-05
6^ 11^ 4 3 	| -2.2728804776143007e-05
8^ 7^ 4 3 	| 1.5602450658373385e-05
10^ 7^ 4 3 	| 1.4909573902697857e-05
8^ 9^ 4 3 	| -0.0843076914141862
8^ 11^ 4 3 	| -2.0617827914290885e-05
10^ 9^ 4 3 	| 2.0054367509078902e-05
10^ 11^ 4 3 	| 0.10171090731229365
7^ 9^ 3 5 	| -1.535585347509457e-05
7^ 11^ 3 5 	| 5.037274683488016e-06
9^ 11^ 3 5 	| 8.021718558153691e-06
6^ 7^ 4 5 	| 0.105189332714374
6^ 9^ 4 5 	| 1.6363978440107373e-05
6^ 11^ 4 5 	| 2.9679592230178402e-05
8^ 7^ 4 5 	| 1.2216764539977813e-05
10^ 7^ 4 5 	| 7.723155193556e-07
8^ 9^ 4 5 	| 0.10531416097157398
8^ 11^ 4 5 	| -1.6563662747036637e-05
10^ 9^ 4 5 	| 1.235338075204474e-06
10^ 11^ 4 5 	| 0.42369025688955214
6^ 0 	| -2.268831405438615e-07
8^ 0 	| 2.1216149904351277e-07
10^ 0 	| 0.0002303120737488144
7^ 1 	| -2.268831405438615e-07
9^ 1 	| 2.1216149904351277e-07
11^ 1 	| 0.0002303120737488144
6^ 2 	| -1.0711213915282474e-06
8^ 2 	| -1.724057847289155e-06
10^ 2 	| -0.025323566273103334
7^ 3 	| -1.0711213915282474e-06
9^ 3 	| -1.724057847289155e-06
11^ 3 	| -0.025323566273103334
6^ 4 	| -1.6149915774039198e-06
8^ 4 	| 1.3022171512675522e-05
10^ 4 	| 0.08666708201718103
7^ 5 	| -1.6149915774039198e-06
9^ 5 	| 1.3022171512675522e-05
11^ 5 	| 0.08666708201718103
