R1/R2
Excitations | Coefficients
6^ 0	| (2.4451795103177516e-09+0j)
8^ 0	| (3.9985626571285916e-09+0j)
10^ 0	| (0.0008832529534886513+0j)
7^ 1	| (-1.3307758934190664e-09+0j)
9^ 1	| (-3.5303081482713296e-09+0j)
11^ 1	| (-0.0008832548066037195+0j)
6^ 2	| (1.3530944697575023e-07+0j)
8^ 2	| (-2.2052826898708192e-07+0j)
10^ 2	| (-0.615010733711395+0j)
7^ 3	| (-1.1637032535575465e-07+0j)
9^ 3	| (1.6797756311974584e-07+0j)
11^ 3	| (0.6150103109996606+0j)
6^ 4	| (-1.4458379051074637e-08+0j)
8^ 4	| (-3.582883295498224e-08+0j)
10^ 4	| (-0.1861367073104025+0j)
7^ 5	| (7.723938601122892e-09+0j)
9^ 5	| (-3.917823210011804e-08+0j)
11^ 5	| (0.18613676782096883+0j)
6^ 0; 7^ 1	| (-3.74617447274449e-05+0j)
6^ 0; 9^ 1	| (1.145954948563853e-10+0j)
6^ 0; 11^ 1	| (1.0964665364875502e-10+0j)
8^ 0; 7^ 1	| (-3.2251164265269747e-10+0j)
8^ 0; 9^ 1	| (-3.74607170031588e-05+0j)
8^ 0; 11^ 1	| (-3.3471535816227467e-10+0j)
10^ 0; 7^ 1	| (2.0986334720557115e-10+0j)
10^ 0; 9^ 1	| (3.416088543027938e-10+0j)
10^ 0; 11^ 1	| (-0.0007517143379092244+0j)
6^ 0; 8^ 2	| (2.878899628786426e-10+0j)
6^ 0; 10^ 2	| (-1.426786811575114e-08+0j)
8^ 0; 10^ 2	| (-8.514118200726755e-09+0j)
6^ 0; 7^ 3	| (2.224618347434837e-05+0j)
6^ 0; 9^ 3	| (-2.031119053265858e-09+0j)
6^ 0; 11^ 3	| (1.2382351372649696e-08+0j)
8^ 0; 7^ 3	| (-1.3149601305170372e-09+0j)
8^ 0; 9^ 3	| (2.2246572748007354e-05+0j)
8^ 0; 11^ 3	| (7.966656181325601e-09+0j)
10^ 0; 7^ 3	| (-5.653805923576449e-10+0j)
10^ 0; 9^ 3	| (1.0232771498673665e-09+0j)
10^ 0; 11^ 3	| (-0.0003785532266504061+0j)
6^ 0; 8^ 4	| (-1.2302032819999313e-09+0j)
6^ 0; 10^ 4	| (-3.9534025839577916e-09+0j)
8^ 0; 10^ 4	| (-4.2813500950617106e-09+0j)
6^ 0; 7^ 5	| (-0.00012882106198993865+0j)
6^ 0; 9^ 5	| (1.2663926093110523e-09+0j)
6^ 0; 11^ 5	| (4.595663698558334e-09+0j)
8^ 0; 7^ 5	| (1.894946556835466e-09+0j)
8^ 0; 9^ 5	| (-0.00012882297801773397+0j)
8^ 0; 11^ 5	| (3.110992912705267e-09+0j)
10^ 0; 7^ 5	| (-4.762991073279343e-10+0j)
10^ 0; 9^ 5	| (6.49867092496686e-10+0j)
10^ 0; 11^ 5	| (0.0005427651178707721+0j)
7^ 1; 6^ 2	| (-2.224834623283861e-05+0j)
7^ 1; 8^ 2	| (-9.652052215551096e-11+0j)
7^ 1; 10^ 2	| (1.1787771509642856e-08+0j)
9^ 1; 6^ 2	| (-3.8207504157142646e-10+0j)
9^ 1; 8^ 2	| (-2.2248134669519135e-05+0j)
9^ 1; 10^ 2	| (8.152490140761751e-09+0j)
11^ 1; 6^ 2	| (-8.664356766187258e-10+0j)
11^ 1; 8^ 2	| (5.235010285735999e-10+0j)
