Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.0004199305971422915
6^ 9^ 0 1 	| -1.6171656350172275e-08
6^ 11^ 0 1 	| -1.522694157445378e-08
8^ 7^ 0 1 	| 1.303071970274764e-08
10^ 7^ 0 1 	| 4.921992759062827e-09
8^ 9^ 0 1 	| -0.00041992895977749584
8^ 11^ 0 1 	| -1.3382862931144256e-08
10^ 9^ 0 1 	| 1.3904078047951488e-08
10^ 11^ 0 1 	| -0.0003644732807003106
6^ 8^ 0 2 	| -2.9106902020146995e-08
6^ 10^ 0 2 	| -5.1035920980916837e-08
8^ 10^ 0 2 	| -8.163678145297743e-09
6^ 7^ 0 3 	| -0.0015504633106569604
6^ 9^ 0 3 	| -2.09953530515528e-08
6^ 11^ 0 3 	| -2.2361195675429224e-08
8^ 7^ 0 3 	| 3.137248357348024e-08
10^ 7^ 0 3 	| 2.5757127639528756e-08
8^ 9^ 0 3 	| -0.0015504589862278643
8^ 11^ 0 3 	| -1.4431491375622713e-08
10^ 9^ 0 3 	| 2.6901905994849494e-09
10^ 11^ 0 3 	| -0.0005458163246975826
6^ 8^ 0 4 	| -2.1390059699526875e-08
6^ 10^ 0 4 	| -6.553574527462822e-09
8^ 10^ 0 4 	| -4.490229866516806e-08
6^ 7^ 0 5 	| 0.00031361415554828154
6^ 9^ 0 5 	| -3.771401473938896e-08
6^ 11^ 0 5 	| -5.91536263457061e-08
8^ 7^ 0 5 	| 2.957661393509886e-08
10^ 7^ 0 5 	| 3.828371686397906e-08
8^ 9^ 0 5 	| 0.00031361711778726673
8^ 11^ 0 5 	| -2.131785440331943e-08
10^ 9^ 0 5 	| -1.0733920603569872e-08
10^ 11^ 0 5 	| 2.7777912628976836e-06
6^ 7^ 2 1 	| -0.0015504266800702242
6^ 9^ 2 1 	| 3.787701890874252e-08
6^ 11^ 2 1 	| -9.626250717637587e-09
8^ 7^ 2 1 	| -4.6428708356894604e-08
10^ 7^ 2 1 	| -1.3226461368731129e-08
8^ 9^ 2 1 	| -0.001550411632233281
8^ 11^ 2 1 	| 3.0058299789036935e-08
10^ 9^ 2 1 	| -3.837545195515382e-09
10^ 11^ 2 1 	| -0.0005458038189481625
7^ 9^ 1 3 	| -3.2265784452403755e-08
7^ 11^ 1 3 	| -1.4921103455524315e-08
9^ 11^ 1 3 	| -3.8341554704183504e-08
6^ 7^ 4 1 	| 0.00031365140830430564
6^ 9^ 4 1 	| 1.0413864974087288e-08
6^ 11^ 4 1 	| 3.088567828161039e-08
8^ 7^ 4 1 	| -1.2124159331107609e-08
10^ 7^ 4 1 	| -4.909459724213201e-08
8^ 9^ 4 1 	| 0.0003136481657445443
8^ 11^ 4 1 	| 3.70961240441266e-09
10^ 9^ 4 1 	| -1.2120507563797476e-08
10^ 11^ 4 1 	| 2.7667494862568397e-06
7^ 9^ 1 5 	| -2.3042885211728534e-08
7^ 11^ 1 5 	| -4.644573710613706e-09
9^ 11^ 1 5 	| -4.056487694367036e-08
6^ 7^ 2 3 	| -0.11363280372057652
6^ 9^ 2 3 	| -7.215142045122813e-08
6^ 11^ 2 3 	| -2.4753031765379866e-07
8^ 7^ 2 3 	| 1.5703295694641823e-07
10^ 7^ 2 3 	| 1.072521275739132e-07
8^ 9^ 2 3 	| -0.11363267910122869
8^ 11^ 2 3 	| 2.0478559081853655e-07
10^ 9^ 2 3 	| 1.5720910147503652e-07
10^ 11^ 2 3 	| -0.029129126023358893
6^ 8^ 2 4 	| -5.5399734322991035e-08
6^ 10^ 2 4 	| 7.268411963445528e-08
8^ 10^ 2 4 	| 1.2097045764676526e-07
6^ 7^ 2 5 	| 0.04247267306267134
6^ 9^ 2 5 	| -3.579835555535457e-07
6^ 11^ 2 5 	| -3.1132550593729296e-07
8^ 7^ 2 5 	| 9.489081792064201e-08
10^ 7^ 2 5 	| 5.14629859874093e-07
8^ 9^ 2 5 	| 0.04247272955876635
8^ 11^ 2 5 	| -8.289704407581389e-08
10^ 9^ 2 5 	| -7.050065057413727e-09
10^ 11^ 2 5 	| -0.051548701189724155
6^ 7^ 4 3 	| 0.042473417879224165
6^ 9^ 4 3 	| 6.357284291197968e-07
6^ 11^ 4 3 	| 1.4843851047819308e-07
8^ 7^ 4 3 	| -3.190747762786178e-07
10^ 7^ 4 3 	| -1.8378588798692022e-07
8^ 9^ 4 3 	| 0.04247321250668903
8^ 11^ 4 3 	| 2.3036049004090193e-07
10^ 9^ 4 3 	| -8.956302809020119e-08
10^ 11^ 4 3 	| -0.05154878307598305
7^ 9^ 3 5 	| -1.4211501644256696e-07
7^ 11^ 3 5 	| 1.0783576246428279e-07
9^ 11^ 3 5 	| -2.0402375487762172e-07
6^ 7^ 4 5 	| -0.05296541612493127
6^ 9^ 4 5 	| -4.4306361009716396e-07
6^ 11^ 4 5 	| 5.3207598978049337e-08
8^ 7^ 4 5 	| 2.0702330086817014e-07
10^ 7^ 4 5 	| -2.244875787118529e-08
8^ 9^ 4 5 	| -0.05296577485514081
8^ 11^ 4 5 	| -7.708733750673267e-07
10^ 9^ 4 5 	| 5.359035311213426e-08
10^ 11^ 4 5 	| -0.21099664990060193
6^ 0 	| -1.9463534623795778e-08
8^ 0 	| -1.118971866771229e-08
10^ 0 	| 0.00011238207532229595
7^ 1 	| -1.9463534623795778e-08
9^ 1 	| -1.118971866771229e-08
11^ 1 	| 0.00011238207532229595
6^ 2 	| -1.7790610993851947e-07
8^ 2 	| -1.867197125020558e-07
10^ 2 	| -0.010997888312002274
7^ 3 	| -1.7790610993851947e-07
9^ 3 	| -1.867197125020558e-07
11^ 3 	| -0.010997888312002274
6^ 4 	| 1.9170189252566286e-07
8^ 4 	| -3.843420809853439e-07
10^ 4 	| 0.04605286742059229
7^ 5 	| 1.9170189252566286e-07
9^ 5 	| -3.843420809853439e-07
11^ 5 	| 0.04605286742059229
