R1/R2
Excitations | Coefficients
6^ 0	| 2.1243543139689673e-06
8^ 0	| 0.00024532362781800633
10^ 0	| -1.8022001745761004e-09
7^ 1	| 2.131207161537867e-06
9^ 1	| 0.00024526033187070124
11^ 1	| -1.6693216789345072e-09
6^ 2	| -0.000730141766726335
8^ 2	| -0.0835681605658986
10^ 2	| 2.0165857175465964e-07
7^ 3	| -0.000729461784857104
9^ 3	| -0.08355635146414049
11^ 3	| 2.2181384285672318e-07
6^ 4	| 0.006045705197700948
8^ 4	| 0.6933357304260804
10^ 4	| 1.2660100450857326e-06
7^ 5	| 0.00604323455567812
9^ 5	| 0.6932633430285848
11^ 5	| 2.9302614933130605e-06
6^ 0; 7^ 1	| 1.9627801120525312e-10
6^ 0; 9^ 1	| 6.502611684137613e-09
6^ 0; 11^ 1	| 1.4781821267271806e-06
8^ 0; 7^ 1	| -1.2517981052770355e-09
8^ 0; 9^ 1	| 4.5123418209412625e-09
8^ 0; 11^ 1	| 0.00016961867072203674
10^ 0; 7^ 1	| 1.4774524658501599e-06
10^ 0; 9^ 1	| 0.00016961530820221974
10^ 0; 11^ 1	| -3.507488762730408e-10
6^ 0; 8^ 2	| 3.2766122898867614e-09
6^ 0; 10^ 2	| -6.657215339094105e-07
8^ 0; 10^ 2	| -7.62445881458691e-05
6^ 0; 7^ 3	| 1.643372646386416e-10
6^ 0; 9^ 3	| 1.2907816010716548e-08
6^ 0; 11^ 3	| 6.139486531285657e-06
8^ 0; 7^ 3	| -6.513349346618794e-09
8^ 0; 9^ 3	| 5.200587172010975e-09
8^ 0; 11^ 3	| 0.0007041512725456982
10^ 0; 7^ 3	| 7.521400755240954e-06
10^ 0; 9^ 3	| 0.0008626489517125775
10^ 0; 11^ 3	| -1.2584258670501614e-09
6^ 0; 8^ 4	| -7.305498532296333e-08
6^ 0; 10^ 4	| 1.4230506285257843e-07
8^ 0; 10^ 4	| 1.6585182727787577e-05
6^ 0; 7^ 5	| -2.7949597076095516e-09
6^ 0; 9^ 5	| -6.480813373950984e-08
6^ 0; 11^ 5	| 5.240409997905979e-07
8^ 0; 7^ 5	| 5.503489459117877e-09
8^ 0; 9^ 5	| 1.3854016989619524e-08
8^ 0; 11^ 5	| 5.986898116931017e-05
10^ 0; 7^ 5	| -3.7811723855507357e-06
10^ 0; 9^ 5	| -0.0004340246033375395
10^ 0; 11^ 5	| -1.3274130034906666e-09
7^ 1; 6^ 2	| -2.8506004918404574e-10
7^ 1; 8^ 2	| -8.061741970400801e-09
7^ 1; 10^ 2	| -6.136638374314949e-06
9^ 1; 6^ 2	| -1.066324982243038e-08
9^ 1; 8^ 2	| -5.882713972598587e-09
9^ 1; 10^ 2	| -0.0007040637982541107
11^ 1; 6^ 2	| -7.5196574157675164e-06
11^ 1; 8^ 2	| -0.000862732312931513
11^ 1; 10^ 2	| 2.406669818117363e-09
7^ 1; 9^ 3	| -6.739943566525709e-09
7^ 1; 11^ 3	| 6.637861713312306e-07
9^ 1; 11^ 3	| 7.624316383648566e-05
7^ 1; 6^ 4	| -6.5702690193771765e-09
7^ 1; 8^ 4	| 6.808631447809484e-08
7^ 1; 10^ 4	| -5.233760068923998e-07
9^ 1; 6^ 4	| 7.091227937676482e-09
9^ 1; 8^ 4	| 1.498334108454064e-08
9^ 1; 10^ 4	| -5.980564157266327e-05
11^ 1; 6^ 4	| 3.7877033023716883e-06
11^ 1; 8^ 4	| 0.0004340695474981919
11^ 1; 10^ 4	| -1.4988826225842834e-09
7^ 1; 9^ 5	| 7.754468689825231e-08
7^ 1; 11^ 5	| -1.469392150811604e-07
9^ 1; 11^ 5	| -1.6655014651722268e-05
6^ 2; 7^ 3	| 3.710697866324804e-08
6^ 2; 9^ 3	| 4.2435918650077576e-07
6^ 2; 11^ 3	| 0.00017877518733829656
8^ 2; 7^ 3	| 1.7710400887182316e-07
8^ 2; 9^ 3	| 5.567865574568615e-08
8^ 2; 11^ 3	| 0.020514629792946406
10^ 2; 7^ 3	| 0.00017878960838604792
10^ 2; 9^ 3	| 0.020507620866662014
10^ 2; 11^ 3	| -5.490548407018341e-08
6^ 2; 8^ 4	| 5.137939038924344e-08
6^ 2; 10^ 4	| 0.00024354403633160325
8^ 2; 10^ 4	| 0.02791838077039032
6^ 2; 7^ 5	| -9.392860704672265e-08
6^ 2; 9^ 5	| 1.957624261161127e-06
6^ 2; 11^ 5	| -0.0003714016350053571
8^ 2; 7^ 5	| 1.9440039771872032e-07
8^ 2; 9^ 5	| 3.1988365421164043e-06
8^ 2; 11^ 5	| -0.04260615767908584
10^ 2; 7^ 5	| -0.0006602837323900037
10^ 2; 9^ 5	| -0.07574110698424778
10^ 2; 11^ 5	| -4.0799990447920944e-07
7^ 3; 6^ 4	| -1.2322094371704446e-07
7^ 3; 8^ 4	| -1.989609465939779e-06
7^ 3; 10^ 4	| 0.0003702529471180481
9^ 3; 6^ 4	| -7.344493339351354e-07
9^ 3; 8^ 4	| 1.6776782680043948e-06
9^ 3; 10^ 4	| 0.04246092554625542
11^ 3; 6^ 4	| 0.0006597495803742614
11^ 3; 8^ 4	| 0.07567174364416286
11^ 3; 10^ 4	| -6.108687322918227e-07
7^ 3; 9^ 5	| -4.809674023042718e-07
7^ 3; 11^ 5	| -0.00024339565728922192
9^ 3; 11^ 5	| -0.027911183286072384
6^ 4; 7^ 5	| -1.1151653794030449e-07
6^ 4; 9^ 5	| -3.0178972909541e-06
6^ 4; 11^ 5	| -0.0005213398595089458
8^ 4; 7^ 5	| -2.856366990096969e-06
8^ 4; 9^ 5	| 8.151157062720553e-07
8^ 4; 11^ 5	| -0.05978167624209158
10^ 4; 7^ 5	| -0.000520268146276176
10^ 4; 9^ 5	| -0.059768422868608895
10^ 4; 11^ 5	| -2.8690729441532836e-08
