Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0008490146666350425
6^ 9^ 0 1 	| -9.511108058156492e-07
6^ 11^ 0 1 	| -2.0464730863141685e-06
8^ 7^ 0 1 	| 5.22469956152057e-07
10^ 7^ 0 1 	| 6.680543884531785e-07
8^ 9^ 0 1 	| 0.0008345925878912094
8^ 11^ 0 1 	| -1.878690156694763e-06
10^ 9^ 0 1 	| 1.7988550123985262e-07
10^ 11^ 0 1 	| 0.0007138813722968674
6^ 8^ 0 2 	| -1.2634041473660599e-06
6^ 10^ 0 2 	| 3.6434890661416104e-07
8^ 10^ 0 2 	| -1.8955018783293592e-06
6^ 7^ 0 3 	| 0.003098194702471535
6^ 9^ 0 3 	| 1.1567665191045604e-06
6^ 11^ 0 3 	| -7.071319129362123e-07
8^ 7^ 0 3 	| 2.5416615212013006e-06
10^ 7^ 0 3 	| 4.019519431643895e-06
8^ 9^ 0 3 	| 0.0030856864677014997
8^ 11^ 0 3 	| -1.160164196054179e-06
10^ 9^ 0 3 	| 1.3476590265536028e-06
10^ 11^ 0 3 	| 0.0010620410691687008
6^ 8^ 0 4 	| -2.2600266385327607e-06
6^ 10^ 0 4 	| 1.0331067557512542e-06
8^ 10^ 0 4 	| -4.424641287348935e-08
6^ 7^ 0 5 	| -0.0006278515772831787
6^ 9^ 0 5 	| 2.0172205961356884e-06
6^ 11^ 0 5 	| -3.6487249892159733e-07
8^ 7^ 0 5 	| -8.597521745116976e-07
10^ 7^ 0 5 	| -1.5750521981230275e-06
8^ 9^ 0 5 	| -0.0006173784471072062
8^ 11^ 0 5 	| -1.7588377125073808e-06
10^ 9^ 0 5 	| 1.913793219834131e-06
10^ 11^ 0 5 	| -2.0072037350629056e-05
6^ 7^ 2 1 	| 0.0030983519989288004
6^ 9^ 2 1 	| 1.4882133788975386e-06
6^ 11^ 2 1 	| -4.1163159036730587e-07
8^ 7^ 2 1 	| -2.0595900916834235e-07
10^ 7^ 2 1 	| -1.4383085666123295e-07
8^ 9^ 2 1 	| 0.003082558247588588
8^ 11^ 2 1 	| -4.469989986907177e-07
10^ 9^ 2 1 	| -1.8543884693376252e-06
10^ 11^ 2 1 	| 0.0010632517510790836
7^ 9^ 1 3 	| 6.241810329235865e-07
7^ 11^ 1 3 	| 4.5891024714403944e-08
9^ 11^ 1 3 	| -6.458437584810893e-07
6^ 7^ 4 1 	| -0.000626554550732769
6^ 9^ 4 1 	| 6.724186865035824e-07
6^ 11^ 4 1 	| 1.595324946748773e-06
8^ 7^ 4 1 	| -2.4346628721593876e-06
10^ 7^ 4 1 	| -1.4205635640176924e-06
8^ 9^ 4 1 	| -0.0006181503040077151
8^ 11^ 4 1 	| 9.799627372288505e-07
10^ 9^ 4 1 	| 1.0095963023212474e-06
10^ 11^ 4 1 	| -1.917330201232403e-05
7^ 9^ 1 5 	| -6.092224058859865e-07
7^ 11^ 1 5 	| -8.628860295153519e-08
9^ 11^ 1 5 	| 8.023514485277907e-07
6^ 7^ 2 3 	| 0.22808886620156643
6^ 9^ 2 3 	| -7.78731411218272e-06
6^ 11^ 2 3 	| 5.234809102138398e-06
8^ 7^ 2 3 	| 1.1673285647727236e-05
10^ 7^ 2 3 	| 5.473104970267664e-06
8^ 9^ 2 3 	| 0.2289671685456794
8^ 11^ 2 3 	| 3.6399548953999514e-06
10^ 9^ 2 3 	| -2.042740841686514e-05
10^ 11^ 2 3 	| 0.057054637028826495
6^ 8^ 2 4 	| 3.726103443879423e-07
6^ 10^ 2 4 	| -9.733467509658444e-06
8^ 10^ 2 4 	| -1.179711335540357e-06
6^ 7^ 2 5 	| -0.0845329482311291
6^ 9^ 2 5 	| -2.9545504487679072e-06
6^ 11^ 2 5 	| 1.3681068094104004e-05
8^ 7^ 2 5 	| 1.1573406719745444e-05
10^ 7^ 2 5 	| -1.59425031768399e-05
8^ 9^ 2 5 	| -0.08443720507298784
8^ 11^ 2 5 	| 1.5094313632227983e-05
10^ 9^ 2 5 	| -9.28907273640633e-06
10^ 11^ 2 5 	| 0.10159682951422827
6^ 7^ 4 3 	| -0.08423906729765347
6^ 9^ 4 3 	| -1.3158633316695043e-05
6^ 11^ 4 3 	| -2.088539327667363e-06
8^ 7^ 4 3 	| -2.7787408026713674e-05
10^ 7^ 4 3 	| 2.5082368231547904e-06
8^ 9^ 4 3 	| -0.08431329584839337
8^ 11^ 4 3 	| -5.8957757523296115e-06
10^ 9^ 4 3 	| 7.469227119228317e-06
10^ 11^ 4 3 	| 0.1017254287275572
7^ 9^ 3 5 	| 8.689987454598831e-06
7^ 11^ 3 5 	| -2.0219591645712366e-05
9^ 11^ 3 5 	| -2.2947669806685843e-07
6^ 7^ 4 5 	| 0.10517742743009799
6^ 9^ 4 5 	| 1.091415082451874e-05
6^ 11^ 4 5 	| 2.4536301662254614e-05
8^ 7^ 4 5 	| -3.6087542588801366e-06
10^ 7^ 4 5 	| 2.1118572272069615e-06
8^ 9^ 4 5 	| 0.1052983889410081
8^ 11^ 4 5 	| 1.683201981089939e-07
10^ 9^ 4 5 	| 9.777205913419385e-06
10^ 11^ 4 5 	| 0.4236842733596311
6^ 0 	| 2.1291160972021184e-07
8^ 0 	| -3.430020407832099e-08
10^ 0 	| 0.00022954095185986383
7^ 1 	| 2.1291160972021184e-07
9^ 1 	| -3.430020407832099e-08
11^ 1 	| 0.00022954095185986383
6^ 2 	| -3.3040195857914873e-06
8^ 2 	| -5.194013021595772e-06
10^ 2 	| -0.025318712979969297
7^ 3 	| -3.3040195857914873e-06
9^ 3 	| -5.194013021595772e-06
11^ 3 	| -0.025318712979969297
6^ 4 	| 4.186735142133311e-06
8^ 4 	| -8.360359292799119e-06
10^ 4 	| 0.08665755765635651
7^ 5 	| 4.186735142133311e-06
9^ 5 	| -8.360359292799119e-06
11^ 5 	| 0.08665755765635651
