Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00020398687575799552
6^ 9^ 0 1 	| -1.2483177186838028e-08
6^ 11^ 0 1 	| -1.0282747650857912e-08
8^ 7^ 0 1 	| 2.2744649527963663e-08
10^ 7^ 0 1 	| 3.1897116936233646e-09
8^ 9^ 0 1 	| -0.00041880640628141734
8^ 11^ 0 1 	| -1.711894023564508e-08
10^ 9^ 0 1 	| 8.855258855230102e-09
10^ 11^ 0 1 	| -0.00041881111635026894
6^ 8^ 0 2 	| -1.2433323507064677e-08
6^ 10^ 0 2 	| -1.8167447052595336e-08
8^ 10^ 0 2 	| -1.4283761702828633e-08
6^ 7^ 0 3 	| -0.0004306479811710736
6^ 9^ 0 3 	| -1.1761093528428754e-08
6^ 11^ 0 3 	| 6.9203266371772356e-09
8^ 7^ 0 3 	| 2.2293940412769467e-08
10^ 7^ 0 3 	| 1.252117802379754e-08
8^ 9^ 0 3 	| -0.0016155756146834662
8^ 11^ 0 3 	| 2.1699638056991874e-09
10^ 9^ 0 3 	| 1.8245521532104072e-08
10^ 11^ 0 3 	| -0.0016155931321878943
6^ 8^ 0 4 	| -1.583568263100561e-08
6^ 10^ 0 4 	| -2.6464231865428445e-09
8^ 10^ 0 4 	| -1.2498928896181955e-08
6^ 7^ 0 5 	| -0.00015969578606746688
6^ 9^ 0 5 	| -1.6098224285739052e-08
6^ 11^ 0 5 	| 1.7184655840284385e-08
8^ 7^ 0 5 	| 1.1559678481585336e-08
10^ 7^ 0 5 	| 2.3927463491271028e-08
8^ 9^ 0 5 	| 0.00018096939706529761
8^ 11^ 0 5 	| -1.6372818702682365e-08
10^ 9^ 0 5 	| 1.8175170936520738e-08
10^ 11^ 0 5 	| 0.00018098469030603114
6^ 7^ 2 1 	| -0.00043059965318465013
6^ 9^ 2 1 	| 2.052313841604271e-08
6^ 11^ 2 1 	| 1.8828838545402074e-08
8^ 7^ 2 1 	| 4.027438192667915e-10
10^ 7^ 2 1 	| -8.738399145496772e-09
8^ 9^ 2 1 	| -0.0016155561103777252
8^ 11^ 2 1 	| 1.4256170004940313e-08
10^ 9^ 2 1 	| -2.781511120868176e-08
10^ 11^ 2 1 	| -0.0016155581288046113
7^ 9^ 1 3 	| -8.51095472874353e-09
7^ 11^ 1 3 	| -4.0993243111842465e-08
9^ 11^ 1 3 	| -3.3283353870590967e-09
6^ 7^ 4 1 	| -0.00015962369450057772
6^ 9^ 4 1 	| 2.004204832170983e-08
6^ 11^ 4 1 	| 5.281339951209714e-09
8^ 7^ 4 1 	| -3.48492687759148e-08
