Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0004064860016376623
6^ 9^ 0 1 	| -1.1729949439571405e-06
6^ 11^ 0 1 	| -1.1353611614080702e-06
8^ 7^ 0 1 	| 3.2283603209749503e-07
10^ 7^ 0 1 	| 4.5440360861132655e-07
8^ 9^ 0 1 	| 0.0008408442685989878
8^ 11^ 0 1 	| 1.1783601312085595e-06
10^ 9^ 0 1 	| -6.727002814008826e-07
10^ 11^ 0 1 	| 0.0008266234469824655
6^ 8^ 0 2 	| -6.034804761392513e-07
6^ 10^ 0 2 	| -2.1664943615660506e-06
8^ 10^ 0 2 	| 3.5715203502445386e-07
6^ 7^ 0 3 	| 0.0008828228522050217
6^ 9^ 0 3 	| -7.632437336080225e-07
6^ 11^ 0 3 	| 2.2266079557529113e-07
8^ 7^ 0 3 	| -1.8449758740501554e-06
10^ 7^ 0 3 	| -6.495320365993375e-08
8^ 9^ 0 3 	| 0.003215539223199892
8^ 11^ 0 3 	| 7.90524578965951e-07
10^ 9^ 0 3 	| 2.3885522485262725e-06
10^ 11^ 0 3 	| 0.0032114531027307744
6^ 8^ 0 4 	| -4.974652479405597e-07
6^ 10^ 0 4 	| -5.522241748873842e-07
8^ 10^ 0 4 	| 1.934109528204495e-06
6^ 7^ 0 5 	| 0.0002878828467978102
6^ 9^ 0 5 	| -1.968006475147634e-06
6^ 11^ 0 5 	| 9.930286448630323e-07
8^ 7^ 0 5 	| -9.928300964761553e-07
10^ 7^ 0 5 	| 8.493337749738708e-07
8^ 9^ 0 5 	| -0.0003421581063602119
8^ 11^ 0 5 	| 1.5911127604623582e-06
10^ 9^ 0 5 	| -2.473851706620327e-06
10^ 11^ 0 5 	| -0.0003356157140202888
6^ 7^ 2 1 	| 0.0008821594952413292
6^ 9^ 2 1 	| 1.614004463471357e-07
6^ 11^ 2 1 	| -3.053124488348479e-06
8^ 7^ 2 1 	| 7.947886293477411e-07
10^ 7^ 2 1 	| 6.475415329108814e-07
8^ 9^ 2 1 	| 0.0032126329427959854
8^ 11^ 2 1 	| -4.897571981463035e-07
10^ 9^ 2 1 	| -5.858260749793879e-07
10^ 11^ 2 1 	| 0.0032117950382051503
7^ 9^ 1 3 	| -1.8317199303759088e-06
7^ 11^ 1 3 	| 3.7272701797803714e-07
9^ 11^ 1 3 	| 1.5484333692642466e-06
6^ 7^ 4 1 	| 0.00028387725565275963
6^ 9^ 4 1 	| -2.035921416367793e-06
6^ 11^ 4 1 	| 1.3643813322593606e-07
8^ 7^ 4 1 	| 9.200951675401175e-07
10^ 7^ 4 1 	| 1.8707407161113357e-06
8^ 9^ 4 1 	| -0.00034133605058262427
8^ 11^ 4 1 	| -3.372167345349892e-07
10^ 9^ 4 1 	| -1.5140841133199249e-06
10^ 11^ 4 1 	| -0.0003383414032107443
7^ 9^ 1 5 	| 6.835832709349069e-07
7^ 11^ 1 5 	| 3.2828924605107683e-07
9^ 11^ 1 5 	| -1.0490341946917896e-06
6^ 7^ 2 3 	| 0.035472128987433904
6^ 9^ 2 3 	| 3.147270530327421e-06
6^ 11^ 2 3 	| 8.253643126331096e-06
8^ 7^ 2 3 	| 1.6292454118345247e-07
10^ 7^ 2 3 	| -1.4211553651248105e-05
8^ 9^ 2 3 	| 0.2501200871298903
8^ 11^ 2 3 	| 1.6194262038541823e-05
10^ 9^ 2 3 	| -1.3548729673864519e-05
10^ 11^ 2 3 	| 0.2519569020890368
6^ 8^ 2 4 	| 9.779623148231093e-06
6^ 10^ 2 4 	| 2.1617343652546368e-05
8^ 10^ 2 4 	| 9.7800496870894e-06
6^ 7^ 2 5 	| 0.08094970646837281
6^ 9^ 2 5 	| 3.474073945910367e-05
6^ 11^ 2 5 	| 3.696419749803664e-05
8^ 7^ 2 5 	| -2.456814352150184e-05
10^ 7^ 2 5 	| -1.102887273537517e-05
8^ 9^ 2 5 	| -0.04353932251558656
8^ 11^ 2 5 	| 1.8751088574625367e-05
10^ 9^ 2 5 	| -1.0567789086742122e-05
10^ 11^ 2 5 	| -0.04353649124080356
6^ 7^ 4 3 	| 0.08092870885469625
6^ 9^ 4 3 	| -5.0294547280837936e-06
6^ 11^ 4 3 	| -1.7501898735808645e-05
8^ 7^ 4 3 	| 4.28120445163617e-05
10^ 7^ 4 3 	| 3.6780314986673937e-07
8^ 9^ 4 3 	| -0.043584786527192124
8^ 11^ 4 3 	| -2.3941723929227304e-05
10^ 9^ 4 3 	| 3.1273393932364105e-06
10^ 11^ 4 3 	| -0.04360176726880227
7^ 9^ 3 5 	| 1.70807805275099e-06
7^ 11^ 3 5 	| -1.2450584040167946e-05
9^ 11^ 3 5 	| -4.993403615442259e-06
6^ 7^ 4 5 	| 0.8107003082887003
6^ 9^ 4 5 	| -1.3505761174833645e-05
6^ 11^ 4 5 	| -6.162348377537103e-06
8^ 7^ 4 5 	| -2.3914819161495012e-05
10^ 7^ 4 5 	| -9.696550342492075e-06
8^ 9^ 4 5 	| 0.06261106568167775
8^ 11^ 4 5 	| 3.506536664942634e-06
10^ 9^ 4 5 	| -9.222293892442066e-06
10^ 11^ 4 5 	| 0.06254923112088345
6^ 0 	| 0.0002663151493504815
8^ 0 	| -5.124715612221294e-07
10^ 0 	| 6.120186565563132e-07
7^ 1 	| 0.0002663151493504815
9^ 1 	| -5.124715612221294e-07
11^ 1 	| 6.120186565563132e-07
6^ 2 	| -0.03342470395123965
8^ 2 	| 3.0139907107606646e-06
10^ 2 	| 1.835898248811329e-06
7^ 3 	| -0.03342470395123965
9^ 3 	| 3.0139907107606646e-06
11^ 3 	| 1.835898248811329e-06
6^ 4 	| 0.22947393247588418
8^ 4 	| 2.351411598024013e-05
10^ 4 	| 9.139283050926936e-07
7^ 5 	| 0.22947393247588418
9^ 5 	| 2.351411598024013e-05
11^ 5 	| 9.139283050926936e-07
