Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| -0.00041460429926316205
6^ 9^ 0 1 	| -3.433684389537852e-10
6^ 11^ 0 1 	| -6.227938826548019e-09
8^ 7^ 0 1 	| 1.7424049847522827e-08
10^ 7^ 0 1 	| 6.007440098500953e-09
8^ 9^ 0 1 	| -0.0004145975319871424
8^ 11^ 0 1 	| -1.164102067440741e-08
10^ 9^ 0 1 	| 2.321977857482891e-08
10^ 11^ 0 1 	| -0.00045685426042615213
6^ 8^ 0 2 	| -2.7889817791457655e-08
6^ 10^ 0 2 	| -3.4704841045639595e-08
8^ 10^ 0 2 	| -4.2520332076473516e-08
6^ 7^ 0 3 	| -0.0013666095508751354
6^ 9^ 0 3 	| -1.8642005988850774e-08
6^ 11^ 0 3 	| 4.848234631065005e-09
8^ 7^ 0 3 	| 4.4104639007912205e-08
10^ 7^ 0 3 	| 2.0490905958609356e-08
8^ 9^ 0 3 	| -0.0013665807265713246
8^ 11^ 0 3 	| -3.4562815379415274e-08
10^ 9^ 0 3 	| -8.945682038740904e-09
10^ 11^ 0 3 	| -0.00025834639470116797
6^ 8^ 0 4 	| -9.83954978638336e-09
6^ 10^ 0 4 	| -2.8302480952656366e-08
8^ 10^ 0 4 	| -1.8526694811078397e-08
6^ 7^ 0 5 	| 0.0005916560703553467
6^ 9^ 0 5 	| -4.5912107848489965e-09
6^ 11^ 0 5 	| -1.6355286614011764e-09
8^ 7^ 0 5 	| 3.6086709361264814e-08
10^ 7^ 0 5 	| -2.8439037546091388e-08
8^ 9^ 0 5 	| 0.0005916572752120537
8^ 11^ 0 5 	| 3.3636341825358747e-09
10^ 9^ 0 5 	| 2.0249330746743208e-08
10^ 11^ 0 5 	| 0.0001710029006076135
6^ 7^ 2 1 	| -0.0013665044577467903
6^ 9^ 2 1 	| 1.8506565703304331e-09
6^ 11^ 2 1 	| 3.4918599477066066e-08
8^ 7^ 2 1 	| -3.2482184150346e-08
10^ 7^ 2 1 	| -1.1761520575660467e-09
8^ 9^ 2 1 	| -0.0013665516202843286
8^ 11^ 2 1 	| -1.597830997505999e-08
10^ 9^ 2 1 	| -3.16011666094454e-08
10^ 11^ 2 1 	| -0.00025827399825631615
7^ 9^ 1 3 	| -7.2456637290561545e-09
7^ 11^ 1 3 	| -4.259328636245338e-08
9^ 11^ 1 3 	| -5.394135265261482e-09
6^ 7^ 4 1 	| 0.0005917443008977874
6^ 9^ 4 1 	| -2.2124583831071542e-08
6^ 11^ 4 1 	| 2.1875741174959298e-08
8^ 7^ 4 1 	| -4.3070118684450815e-08
10^ 7^ 4 1 	| -1.9927824550261526e-08
8^ 9^ 4 1 	| 0.0005917343773232246
8^ 11^ 4 1 	| 9.131612709146958e-09
10^ 9^ 4 1 	| -3.353370579160408e-08
10^ 11^ 4 1 	| 0.00017107613509537297
7^ 9^ 1 5 	| -1.4651341341287575e-08
7^ 11^ 1 5 	| -2.7667723115141676e-08
9^ 11^ 1 5 	| -2.4036040793358816e-08
6^ 7^ 2 3 	| -0.07167628732411115
6^ 9^ 2 3 	| 6.489531970951465e-08
6^ 11^ 2 3 	| -1.1142613573354516e-07
8^ 7^ 2 3 	| 8.14256676967919e-09
10^ 7^ 2 3 	| 3.074286234020864e-07
8^ 9^ 2 3 	| -0.07167644393446573
8^ 11^ 2 3 	| -8.297819322322074e-08
10^ 9^ 2 3 	| 2.538903875177446e-07
10^ 11^ 2 3 	| -0.02920129270390539
6^ 8^ 2 4 	| -1.026208695773898e-07
6^ 10^ 2 4 	| -4.946099077589416e-07
8^ 10^ 2 4 	| -2.7560015003048214e-07
6^ 7^ 2 5 	| 0.05439651814757786
6^ 9^ 2 5 	| -4.4364186440983965e-07
6^ 11^ 2 5 	| -9.669304947661697e-08
8^ 7^ 2 5 	| 4.4208330040409084e-07
10^ 7^ 2 5 	| 5.066648694050012e-08
8^ 9^ 2 5 	| 0.054396854329219535
8^ 11^ 2 5 	| -5.747494258104313e-07
10^ 9^ 2 5 	| 2.960591660337811e-07
10^ 11^ 2 5 	| -0.025841034197883125
6^ 7^ 4 3 	| 0.05439779488117348
6^ 9^ 4 3 	| 2.033145384201792e-07
6^ 11^ 4 3 	| 7.662017756904542e-08
8^ 7^ 4 3 	| -3.298038825528825e-07
10^ 7^ 4 3 	| -3.3241062031204664e-07
8^ 9^ 4 3 	| 0.05439768660666022
8^ 11^ 4 3 	| 3.05498315899032e-07
10^ 9^ 4 3 	| -3.240736818077088e-07
10^ 11^ 4 3 	| -0.02584042469157741
7^ 9^ 3 5 	| -3.6121915817449696e-07
7^ 11^ 3 5 	| -1.1466819452446738e-07
9^ 11^ 3 5 	| -3.893220448986949e-07
6^ 7^ 4 5 	| -0.10414344862335545
6^ 9^ 4 5 	| -1.23041490024785e-06
6^ 11^ 4 5 	| -5.935349455817255e-07
8^ 7^ 4 5 	| 1.276851639929573e-06
10^ 7^ 4 5 	| -1.8391150712011555e-08
8^ 9^ 4 5 	| -0.10414333608190292
8^ 11^ 4 5 	| -4.893049460087167e-07
10^ 9^ 4 5 	| 5.4169735055357e-07
10^ 11^ 4 5 	| -0.04387937260939006
6^ 0 	| -1.864855384477063e-08
8^ 0 	| -1.624693771019809e-08
10^ 0 	| 6.578119150205415e-05
7^ 1 	| -1.864855384477063e-08
9^ 1 	| -1.624693771019809e-08
11^ 1 	| 6.578119150205415e-05
6^ 2 	| -2.5799006577917425e-07
8^ 2 	| -3.429472652908422e-07
10^ 2 	| -0.00315800503712366
7^ 3 	| -2.5799006577917425e-07
9^ 3 	| -3.429472652908422e-07
11^ 3 	| -0.00315800503712366
6^ 4 	| -1.3261258113138946e-06
8^ 4 	| -1.388659374192674e-06
10^ 4 	| 0.01240687878403705
7^ 5 	| -1.3261258113138946e-06
9^ 5 	| -1.388659374192674e-06
11^ 5 	| 0.01240687878403705
