6^ 7^ 0 1 	| -0.00041458964539366607
6^ 9^ 0 1 	| -1.539151897772787e-08
6^ 11^ 0 1 	| 5.503386600027704e-09
8^ 7^ 0 1 	| 2.3723369256689835e-09
10^ 7^ 0 1 	| -2.5039714723276136e-09
8^ 9^ 0 1 	| -0.0004145709117912064
8^ 11^ 0 1 	| -2.512887542582913e-09
10^ 9^ 0 1 	| 2.2559556700588894e-08
10^ 11^ 0 1 	| -0.00045683520688072403
6^ 8^ 0 2 	| 3.046698426685398e-09
6^ 10^ 0 2 	| 4.641501491079433e-08
8^ 10^ 0 2 	| 5.748163909484189e-09
6^ 7^ 0 3 	| -0.001366575971852817
6^ 9^ 0 3 	| -1.5867268918726225e-08
6^ 11^ 0 3 	| 1.2150689305255246e-08
8^ 7^ 0 3 	| -6.456912012293846e-09
10^ 7^ 0 3 	| -3.7541344687749434e-09
8^ 9^ 0 3 	| -0.0013665647932351755
8^ 11^ 0 3 	| -6.6761119972965105e-09
10^ 9^ 0 3 	| 8.49744827761043e-09
10^ 11^ 0 3 	| -0.00025830947028973643
6^ 8^ 0 4 	| 2.866662912646118e-08
6^ 10^ 0 4 	| 8.691108143249532e-09
8^ 10^ 0 4 	| 3.124538076393473e-08
6^ 7^ 0 5 	| 0.0005916879757332786
6^ 9^ 0 5 	| -3.101906937700943e-08
6^ 11^ 0 5 	| -1.6284937888472118e-08
8^ 7^ 0 5 	| 7.90853466894406e-09
10^ 7^ 0 5 	| -3.242887369520719e-08
8^ 9^ 0 5 	| 0.0005916889135247154
8^ 11^ 0 5 	| 3.377991253310622e-08
10^ 9^ 0 5 	| 1.9435053540150517e-08
10^ 11^ 0 5 	| 0.00017099137574033127
6^ 7^ 2 1 	| -0.0013665594288740433
6^ 9^ 2 1 	| -2.476406234125308e-08
6^ 11^ 2 1 	| 8.542465411875338e-09
8^ 7^ 2 1 	| -3.0102195162421684e-08
10^ 7^ 2 1 	| 3.0669948008541528e-09
8^ 9^ 2 1 	| -0.0013665313982667514
8^ 11^ 2 1 	| 1.1077330016123017e-08
10^ 9^ 2 1 	| -2.080329373803723e-08
10^ 11^ 2 1 	| -0.0002583226279598361
7^ 9^ 1 3 	| -6.576562834645767e-09
7^ 11^ 1 3 	| -4.6779888921328705e-08
9^ 11^ 1 3 	| -1.0576724272409243e-08
6^ 7^ 4 1 	| 0.0005917114904808318
6^ 9^ 4 1 	| -7.75197564263661e-09
6^ 11^ 4 1 	| 5.083450023400572e-08
8^ 7^ 4 1 	| 4.820874062203633e-09
10^ 7^ 4 1 	| -2.3936216971480086e-08
8^ 9^ 4 1 	| 0.0005917058637746332
8^ 11^ 4 1 	| -4.204492132399661e-09
10^ 9^ 4 1 	| -4.2742772080856846e-08
10^ 11^ 4 1 	| 0.00017105733593712053
7^ 9^ 1 5 	| 2.943127754594639e-08
7^ 11^ 1 5 	| -3.3320519620008305e-08
9^ 11^ 1 5 	| 2.591076489984017e-09
6^ 7^ 2 3 	| -0.07167610876749198
6^ 9^ 2 3 	| 4.95568776993062e-08
6^ 11^ 2 3 	| 3.201587310262482e-08
8^ 7^ 2 3 	| 7.296948890587302e-08
10^ 7^ 2 3 	| 1.3978604934708416e-07
8^ 9^ 2 3 	| -0.07167599918297908
8^ 11^ 2 3 	| 2.6529745961488494e-08
10^ 9^ 2 3 	| 2.0490269170457422e-07
10^ 11^ 2 3 	| -0.029201142125565106
6^ 8^ 2 4 	| 2.1862461773713892e-07
6^ 10^ 2 4 	| 8.512999215624634e-08
8^ 10^ 2 4 	| -1.4465572869821684e-07
6^ 7^ 2 5 	| 0.05439701459442739
6^ 9^ 2 5 	| 2.8628484107896277e-07
6^ 11^ 2 5 	| 2.4028023815580117e-07
8^ 7^ 2 5 	| -1.2148986442151106e-08
10^ 7^ 2 5 	| 1.3934597244894809e-08
8^ 9^ 2 5 	| 0.05439721286341928
8^ 11^ 2 5 	| -1.020030537412598e-07
10^ 9^ 2 5 	| 2.383949323447876e-07
10^ 11^ 2 5 	| -0.02584098180189707
6^ 7^ 4 3 	| 0.05439742821107964
6^ 9^ 4 3 	| -1.7190128341619858e-07
6^ 11^ 4 3 	| 8.784936203199732e-08
8^ 7^ 4 3 	| 1.714364544533039e-07
10^ 7^ 4 3 	| -3.6011776221987435e-07
8^ 9^ 4 3 	| 0.0543972517029016
8^ 11^ 4 3 	| 1.161383927497111e-07
10^ 9^ 4 3 	| -2.0073074377297542e-07
10^ 11^ 4 3 	| -0.02584060972133351
7^ 9^ 3 5 	| -4.518433622469652e-07
7^ 11^ 3 5 	| -3.001126165712516e-08
9^ 11^ 3 5 	| 1.2885910013435388e-08
6^ 7^ 4 5 	| -0.10414320825978571
6^ 9^ 4 5 	| -8.654303496812062e-07
6^ 11^ 4 5 	| -3.6036127452497134e-08
8^ 7^ 4 5 	| 2.1962268017066339e-07
10^ 7^ 4 5 	| -1.5690466747202184e-07
8^ 9^ 4 5 	| -0.10414282034557666
8^ 11^ 4 5 	| 5.36889503883402e-08
10^ 9^ 4 5 	| 4.294893867419663e-08
10^ 11^ 4 5 	| -0.04387925065587602
6^ 0 	| -5.647850777165675e-09
8^ 0 	| -1.4466609344550556e-08
10^ 0 	| 6.579561690501882e-05
7^ 1 	| -5.647850777165675e-09
9^ 1 	| -1.4466609344550556e-08
11^ 1 	| 6.579561690501882e-05
6^ 2 	| 1.3432746836022187e-07
8^ 2 	| 6.837619477446376e-08
10^ 2 	| -0.003157784074621965
7^ 3 	| 1.3432746836022187e-07
9^ 3 	| 6.837619477446376e-08
11^ 3 	| -0.003157784074621965
6^ 4 	| 1.703819881826063e-07
8^ 4 	| 3.2280042406346946e-07
10^ 4 	| 0.012407189606335753
7^ 5 	| 1.703819881826063e-07
9^ 5 	| 3.2280042406346946e-07
11^ 5 	| 0.012407189606335753
