R1/R2
Excitations | Coefficients
6^ 0	| -0.0003803068172840928
8^ 0	| 4.512245294942263e-07
10^ 0	| 4.2427270516287585e-09
7^ 1	| -0.0003803140743016131
9^ 1	| 4.512754328972468e-07
11^ 1	| -5.80682446571501e-11
6^ 2	| 0.04690063909675161
8^ 2	| -5.340785347393573e-05
10^ 2	| -2.6723972229580895e-08
7^ 3	| 0.04690197062666568
9^ 3	| -5.342048110923425e-05
11^ 3	| 1.0662375710124294e-07
6^ 4	| -0.7038341109699766
8^ 4	| 0.0008159258623606225
10^ 4	| -2.7245877221027115e-08
7^ 5	| -0.7038349554575074
9^ 5	| 0.0008156267899075281
11^ 5	| 8.514747212862162e-08
6^ 0; 7^ 1	| -8.730146605628875e-10
6^ 0; 9^ 1	| -3.0848866724997315e-09
6^ 0; 11^ 1	| 1.515510923100552e-05
8^ 0; 7^ 1	| -1.9038746239263826e-09
8^ 0; 9^ 1	| 3.269218229462467e-11
8^ 0; 11^ 1	| -1.665136351068977e-08
10^ 0; 7^ 1	| 1.515076398770493e-05
10^ 0; 9^ 1	| -1.6655504369786356e-08
10^ 0; 11^ 1	| 3.6886278721118965e-10
6^ 0; 8^ 2	| 3.099158854026618e-09
6^ 0; 10^ 2	| 0.00010168105402718468
8^ 0; 10^ 2	| -1.1792773542239213e-07
6^ 0; 7^ 3	| -2.5919901555361514e-09
6^ 0; 9^ 3	| -2.7430600069718416e-09
6^ 0; 11^ 3	| -0.0005580591470157614
8^ 0; 7^ 3	| -4.123388379607789e-09
8^ 0; 9^ 3	| 1.057156356064584e-09
8^ 0; 11^ 3	| 6.473003678133268e-07
10^ 0; 7^ 3	| -0.0005640617111160454
10^ 0; 9^ 3	| 6.537483549916189e-07
10^ 0; 11^ 3	| -6.019328661490639e-10
6^ 0; 8^ 4	| -2.154485703348248e-08
6^ 0; 10^ 4	| 8.23581764794371e-05
8^ 0; 10^ 4	| -9.542211699488545e-08
6^ 0; 7^ 5	| 8.77368302362358e-08
6^ 0; 9^ 5	| 1.19156637201741e-08
6^ 0; 11^ 5	| -0.00025590157535716724
8^ 0; 7^ 5	| -1.3358058702963553e-08
8^ 0; 9^ 5	| 3.7523713637006896e-10
8^ 0; 11^ 5	| 2.956414919346128e-07
10^ 0; 7^ 5	| 0.0005981872348645469
10^ 0; 9^ 5	| -6.930453753206106e-07
10^ 0; 11^ 5	| -1.0970086544515652e-11
