Active electrons: 6
Active orbitals: 6
HF energy: -37.88137454081032
UCCSD energy: -37.917484580140616

Operator	Amplitude
++++++++++++++++++++++++++++++
6^ 7^ 0 1 	| 0.0008397357023823116
6^ 9^ 0 1 	| 1.0555018606648036e-07
6^ 11^ 0 1 	| 3.7914317543754294e-07
8^ 7^ 0 1 	| 3.1067484512438336e-07
10^ 7^ 0 1 	| 1.3336364824449674e-06
8^ 9^ 0 1 	| 0.0008228255985211211
8^ 11^ 0 1 	| 6.041409025875926e-07
10^ 9^ 0 1 	| 3.604921992360365e-07
10^ 11^ 0 1 	| 0.0009111742962937169
6^ 8^ 0 2 	| 1.470029712953872e-06
6^ 10^ 0 2 	| 7.942711138605917e-07
8^ 10^ 0 2 	| -1.2424752914274588e-06
6^ 7^ 0 3 	| 0.002729633293638336
6^ 9^ 0 3 	| 8.620830696313684e-08
6^ 11^ 0 3 	| 5.878593542282369e-07
8^ 7^ 0 3 	| 9.714025170699538e-08
10^ 7^ 0 3 	| -1.3387742178111157e-06
8^ 9^ 0 3 	| 0.0026947424987519633
8^ 11^ 0 3 	| 1.6740999437421805e-06
10^ 9^ 0 3 	| 4.7304653858281897e-07
10^ 11^ 0 3 	| 0.0005072603453795243
6^ 8^ 0 4 	| 1.205009849481911e-06
6^ 10^ 0 4 	| 2.019614277160745e-06
8^ 10^ 0 4 	| -2.873480332681083e-07
6^ 7^ 0 5 	| -0.0011979518570000706
6^ 9^ 0 5 	| 8.279583489664661e-07
6^ 11^ 0 5 	| 2.5392210724031056e-07
8^ 7^ 0 5 	| -2.1946166356539e-08
10^ 7^ 0 5 	| 4.708127383987978e-07
8^ 9^ 0 5 	| -0.0011874754212873317
8^ 11^ 0 5 	| -8.068287531547639e-07
10^ 9^ 0 5 	| -9.9997992630873e-07
10^ 11^ 0 5 	| -0.00034495599897718844
6^ 7^ 2 1 	| 0.002731446347115759
6^ 9^ 2 1 	| 1.1841458788275732e-06
6^ 11^ 2 1 	| -6.580899449094948e-07
8^ 7^ 2 1 	| 1.2108589225917822e-07
10^ 7^ 2 1 	| -9.682592128066451e-07
8^ 9^ 2 1 	| 0.0026929532803743406
8^ 11^ 2 1 	| 7.792949621238617e-08
